"property","value"
"version","1.1.10"
"build","9806"
"fileFormat","1.14"
"deviceModel","iPhone10,2"
"deviceBrand","Apple"
"deviceBoard",""
"deviceManufacturer",""
"deviceBaseOS",""
"deviceCodename",""
"deviceRelease","15.2.1"
"depthFrontSensor",""
"depthFrontResolution",""
"depthFrontRate",""
"depthBackSensor","0"
"depthBackResolution",""
"depthBackRate",""
