"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.646063216581594E9,"2022-02-28 16:46:56.582 UTC+01:00"
"PAUSE",2.258478001665790E2,1.646063442429801E9,"2022-02-28 16:50:42.430 UTC+01:00"
"START",2.258478001665790E2,1.646063453384482E9,"2022-02-28 16:50:53.384 UTC+01:00"
"PAUSE",7.244094894583104E2,1.646063951948031E9,"2022-02-28 16:59:11.948 UTC+01:00"
"START",7.244094894583104E2,1.646064028942457E9,"2022-02-28 17:00:28.942 UTC+01:00"
"PAUSE",2.174444508791668E3,1.646065478983062E9,"2022-02-28 17:24:38.983 UTC+01:00"
