"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.646066285682883E9,"2022-02-28 17:38:05.683 UTC+01:00"
"PAUSE",4.840325535000302E2,1.646066769717069E9,"2022-02-28 17:46:09.717 UTC+01:00"
