"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.587157500E-1,2.488535494E-1,9.748658180E0,-2.727817893E-1,9.755648328E0
1.612718440E-1,3.376871049E-1,9.763015747E0,-2.608176768E-1,9.772335182E0
1.638279380E-1,4.621138871E-1,9.767801285E0,-2.512463629E-1,9.781953584E0
1.663840320E-1,6.008976102E-1,9.767801285E0,-2.321037948E-1,9.789018952E0
1.689401250E-1,7.396813035E-1,9.767801285E0,-1.914258152E-1,9.797638196E0
1.714962190E-1,8.476574421E-1,9.772586823E0,-1.842473447E-1,9.811010316E0
1.740523130E-1,9.457631707E-1,9.782157898E0,-1.938186288E-1,9.829681927E0
1.766084070E-1,1.000798106E0,9.791728973E0,-1.842473447E-1,9.844465461E0
1.791645000E-1,9.960124493E-1,9.815657616E0,-1.842473447E-1,9.867782036E0
1.817205940E-1,9.672985673E-1,9.810872078E0,-1.890329868E-1,9.860254100E0
1.842766880E-1,9.122636318E-1,9.791728973E0,-1.818545163E-1,9.835814775E0
1.868327820E-1,8.428717852E-1,9.791728973E0,-1.866401732E-1,9.829711272E0
1.893888750E-1,7.636095285E-1,9.774979591E0,-1.842473447E-1,9.806491351E0
1.919449690E-1,7.301099896E-1,9.784550667E0,-2.177468538E-1,9.814168637E0
1.945010630E-1,7.013961077E-1,9.774979591E0,-2.656033039E-1,9.803709891E0
1.970571570E-1,6.559324861E-1,9.763015747E0,-2.751746178E-1,9.788893961E0
1.996132500E-1,6.487540603E-1,9.734301567E0,-2.512463629E-1,9.759130779E0
2.021693440E-1,6.296114326E-1,9.693623543E0,-2.033899277E-1,9.716178025E0
2.047254380E-1,6.008976102E-1,9.657731056E0,-1.651047617E-1,9.677815181E0
2.072815320E-1,6.415755749E-1,9.657731056E0,-1.363908947E-1,9.679978866E0
2.098376250E-1,7.157530785E-1,9.684052467E0,-1.124626622E-1,9.711118499E0
2.123937190E-1,7.947162390E-1,9.688838005E0,-8.374879509E-2,9.721736967E0
2.149498130E-1,8.955138922E-1,9.724730492E0,-5.742774159E-2,9.766044553E0
2.175059070E-1,9.888339639E-1,9.767801285E0,-6.699903309E-2,9.817954136E0
2.200620000E-1,1.084546804E0,9.791728973E0,-9.332008660E-2,9.852050888E0
2.226180940E-1,1.146760225E0,9.803693771E0,-8.135596663E-2,9.870870750E0
2.251741880E-1,1.163509965E0,9.827920914E0,-7.896314561E-2,9.896869207E0
2.277302820E-1,1.149153113E0,9.830313683E0,-1.100698411E-1,9.897865191E0
2.302863750E-1,1.106082320E0,9.823135376E0,-1.172483116E-1,9.885906831E0
2.328424690E-1,1.024726272E0,9.803693771E0,-1.435693651E-1,9.858148287E0
2.353985630E-1,9.290133715E-1,9.789336205E0,-1.914258152E-1,9.835182409E0
2.379546570E-1,8.596215248E-1,9.763015747E0,-2.249253243E-1,9.803367638E0
2.405107500E-1,7.755736113E-1,9.755837440E0,-2.727817893E-1,9.790418198E0
2.430668440E-1,7.253243923E-1,9.734301567E0,-3.376871049E-1,9.767126243E0
2.456229380E-1,7.013961077E-1,9.719944954E0,-4.046861231E-1,9.753617650E0
2.481790320E-1,6.918248534E-1,9.705587387E0,-4.214358926E-1,9.739335520E0
2.507351250E-1,7.157530785E-1,9.693623543E0,-4.334000051E-1,9.729669852E0
2.532912190E-1,7.420741320E-1,9.686445236E0,-4.190430641E-1,9.723862012E0
2.558473130E-1,7.277171612E-1,9.691230774E0,-3.472583890E-1,9.724716683E0
2.584034070E-1,7.013961077E-1,9.707980156E0,-2.632105052E-1,9.736843173E0
2.609595000E-1,6.559324861E-1,9.739087105E0,-1.938186288E-1,9.763074860E0
2.635155940E-1,5.985047817E-1,9.758230209E0,-1.507478207E-1,9.777729271E0
2.660716880E-1,5.434698462E-1,9.763015747E0,-1.220339537E-1,9.778891974E0
2.686277820E-1,4.788636267E-1,9.751050949E0,-1.124626622E-1,9.763449843E0
2.711838750E-1,4.597210586E-1,9.729516029E0,-1.004985496E-1,9.740889363E0
2.737399690E-1,4.166502357E-1,9.707980156E0,-6.699903309E-2,9.717147987E0
2.762960630E-1,4.094717801E-1,9.669695854E0,-5.503492057E-2,9.678518166E0
2.788521570E-1,4.118646085E-1,9.672088623E0,-5.264209956E-2,9.680996952E0
2.814082500E-1,4.334000051E-1,9.674481392E0,-7.178468257E-2,9.684450362E0
2.839643440E-1,4.405784607E-1,9.707980156E0,-1.100698411E-1,9.718595755E0
2.865204380E-1,4.549354017E-1,9.710372925E0,-1.339980662E-1,9.721947544E0
2.890765320E-1,4.645066857E-1,9.731908798E0,-1.770688742E-1,9.744596898E0
2.916326250E-1,4.836492836E-1,9.753444672E0,-1.842473447E-1,9.767166768E0
2.941887190E-1,5.315057039E-1,9.763015747E0,-2.057827413E-1,9.779638098E0
2.967448130E-1,5.769693851E-1,9.779765129E0,-2.153540403E-1,9.799136544E0
2.993009070E-1,6.176473498E-1,9.770194054E0,-2.321037948E-1,9.792448737E0
3.018570000E-1,6.822535396E-1,9.758230209E0,-2.560320199E-1,9.785401326E0
3.044130940E-1,7.444669604E-1,9.760622978E0,-2.679961324E-1,9.792640803E0
3.069691880E-1,7.731808424E-1,9.746265411E0,-2.464607358E-1,9.779991870E0
3.095252820E-1,7.612167001E-1,9.743872643E0,-1.579262912E-1,9.774837372E0
3.120813750E-1,7.133602500E-1,9.727123260E0,-7.178468257E-2,9.753510282E0
3.146374690E-1,6.272186637E-1,9.739087105E0,7.178467698E-3,9.759265977E0
3.171935630E-1,5.291129351E-1,9.770194054E0,2.871387079E-2,9.784552970E0
3.197496570E-1,4.405784607E-1,9.777372360E0,4.785645287E-3,9.787294956E0
3.223057500E-1,3.233301640E-1,9.770194054E0,-5.503492057E-2,9.775697575E0
3.248618440E-1,2.656033039E-1,9.739087105E0,-1.435693651E-1,9.743765951E0
3.274179380E-1,2.464607358E-1,9.693623543E0,-2.440679073E-1,9.699827289E0
3.299740320E-1,2.751746178E-1,9.669695854E0,-3.161516786E-1,9.678775277E0
3.325301250E-1,3.376871049E-1,9.645767212E0,-3.735794425E-1,9.658903628E0
3.350862190E-1,4.070789516E-1,9.664909363E0,-3.687937856E-1,9.680505933E0
3.376423130E-1,5.171487927E-1,9.715159416E0,-3.496512175E-1,9.735194982E0
3.401984070E-1,6.272186637E-1,9.758230209E0,-3.305086195E-1,9.783950941E0
3.427545000E-1,7.229315639E-1,9.791728973E0,-2.850449979E-1,9.822516836E0
3.453105940E-1,8.042874932E-1,9.813264847E0,-2.368894368E-1,9.849018323E0
3.478666880E-1,8.763712645E-1,9.810872078E0,-2.057827413E-1,9.852085265E0
3.504227820E-1,9.002995491E-1,9.786943436E0,-1.579262912E-1,9.829534160E0
3.529788750E-1,8.907282352E-1,9.751050949E0,-1.435693651E-1,9.792701546E0
3.555349690E-1,9.098708034E-1,9.712766647E0,-1.196411327E-1,9.756024540E0
3.580910630E-1,9.122636318E-1,9.684052467E0,-1.004985496E-1,9.727445558E0
3.606471570E-1,9.314061999E-1,9.700801849E0,-1.220339537E-1,9.746177010E0
3.632032500E-1,9.361918569E-1,9.705587387E0,-1.603191197E-1,9.751952827E0
3.657593440E-1,9.553344250E-1,9.731908798E0,-2.129612118E-1,9.781005327E0
3.683154380E-1,9.505487680E-1,9.743872643E0,-2.512463629E-1,9.793350896E0
3.708715320E-1,9.696913958E-1,9.746265411E0,-2.584248483E-1,9.797794358E0
3.734276250E-1,9.720842242E-1,9.743872643E0,-2.512463629E-1,9.795464591E0
3.759837190E-1,9.864411354E-1,9.751050949E0,-2.344966233E-1,9.803624299E0
3.785398130E-1,9.888339639E-1,9.741479874E0,-2.177468538E-1,9.793959181E0
3.810959070E-1,1.024726272E0,9.758230209E0,-2.129612118E-1,9.814197534E0
3.836520000E-1,1.048654556E0,9.755837440E0,-1.986042857E-1,9.814045252E0
3.862080940E-1,1.041476011E0,9.760622978E0,-1.627119333E-1,9.817377877E0
3.887641880E-1,1.017547846E0,9.758230209E0,-1.076770201E-1,9.811730468E0
3.913202820E-1,9.768698215E-1,9.746265411E0,-5.264209956E-2,9.795240442E0
3.938763750E-1,9.194421172E-1,9.758230209E0,2.871387079E-2,9.801492494E0
3.964324690E-1,8.739784956E-1,9.774979591E0,1.124626622E-1,9.814617276E0
3.989885630E-1,8.306085467E-1,9.801301003E0,1.483550072E-1,9.837551581E0
4.015446570E-1,7.564310431E-1,9.806086540E0,1.363908947E-1,9.836164071E0
4.041007500E-1,6.702894568E-1,9.830313683E0,9.571290761E-2,9.853604214E0
4.066568440E-1,5.650052428E-1,9.815657616E0,2.392822644E-3,9.831905770E0
4.092129380E-1,5.075774789E-1,9.818050385E0,-1.148554832E-1,9.831832995E0
4.117690320E-1,4.429712892E-1,9.801301003E0,-2.057827413E-1,9.813463784E0
4.143251250E-1,3.903291821E-1,9.755837440E0,-2.946162820E-1,9.768086803E0
4.168812190E-1,3.592225015E-1,9.753444672E0,-3.352942765E-1,9.765815174E0
4.194373130E-1,3.233301640E-1,9.755837440E0,-3.233301640E-1,9.766547443E0
4.219934070E-1,3.376871049E-1,9.767801285E0,-2.826521695E-1,9.777722985E0
4.245495000E-1,3.329014480E-1,9.765408516E0,-2.273181528E-1,9.773725001E0
4.271055940E-1,3.544368446E-1,9.779765129E0,-1.818545163E-1,9.787875281E0
4.296616880E-1,3.831507266E-1,9.801301003E0,-1.316052526E-1,9.809670013E0
4.322177820E-1,3.999004960E-1,9.791728973E0,-8.853443712E-2,9.800291579E0
4.347738750E-1,4.405784607E-1,9.770194054E0,-7.657032460E-2,9.780422498E0
4.373299690E-1,5.003990531E-1,9.727123260E0,-8.374879509E-2,9.740345990E0
4.398860630E-1,5.817549825E-1,9.715159416E0,-1.268195957E-1,9.733388133E0
4.424421570E-1,6.631109715E-1,9.739087105E0,-1.531406492E-1,9.762836978E0
4.449982500E-1,7.301099896E-1,9.772586823E0,-1.698904037E-1,9.801294636E0
4.475543440E-1,7.636095285E-1,9.791728973E0,-2.009970993E-1,9.823515442E0
4.501104380E-1,7.779664397E-1,9.801301003E0,-2.392822653E-1,9.835038847E0
4.526665320E-1,7.660023570E-1,9.803693771E0,-2.751746178E-1,9.837423049E0
4.552226250E-1,7.516453862E-1,9.813264847E0,-3.137588799E-1,9.847008803E0
4.577787190E-1,7.037889361E-1,9.779765129E0,-3.472583890E-1,9.811203455E0
4.603348130E-1,6.391827464E-1,9.784550667E0,-3.759722710E-1,9.812611349E0
4.628909070E-1,5.841478109E-1,9.760622978E0,-4.094717801E-1,9.786657076E0
4.654470000E-1,5.267201066E-1,9.748658180E0,-4.166502357E-1,9.771763802E0
4.680030940E-1,4.860421121E-1,9.734301567E0,-4.022932947E-1,9.754727255E0
4.705591880E-1,4.692923427E-1,9.736694336E0,-3.831507266E-1,9.755524403E0
4.731152820E-1,4.286143482E-1,9.741479874E0,-3.376871049E-1,9.756750123E0
4.756713750E-1,4.214358926E-1,9.722337723E0,-3.089732230E-1,9.736371165E0
4.782274690E-1,4.334000051E-1,9.707980156E0,-2.703889608E-1,9.721410621E0
4.807835630E-1,4.357928336E-1,9.691230774E0,-2.344966233E-1,9.703857891E0
4.833396570E-1,4.764707983E-1,9.696016312E0,-1.890329868E-1,9.709556643E0
4.858957500E-1,5.434698462E-1,9.703194618E0,-1.459621787E-1,9.719498456E0
4.884518440E-1,5.913262963E-1,9.696016312E0,-1.028913707E-1,9.714575942E0
4.910079380E-1,6.798607111E-1,9.707980156E0,-6.699903309E-2,9.731987370E0
4.935640320E-1,7.564310431E-1,9.719944954E0,-4.067798331E-2,9.749419087E0
4.961201250E-1,8.401798606E-1,9.734301567E0,-3.589234129E-2,9.770558708E0
4.986762190E-1,9.122636318E-1,9.760622978E0,-3.349951655E-2,9.803219271E0
5.012323130E-1,9.457631707E-1,9.770194054E0,-3.110669367E-2,9.815911952E0
5.037884070E-1,9.361918569E-1,9.784550667E0,-4.067798331E-2,9.829320508E0
5.063445000E-1,8.859425783E-1,9.770194054E0,-3.589234129E-2,9.810345272E0
5.089005940E-1,8.042874932E-1,9.779765129E0,-4.067798331E-2,9.812865996E0
5.114566880E-1,7.229315639E-1,9.758230209E0,-7.417750359E-2,9.785253659E0
5.139936150E-1,6.152545214E-1,9.741479874E0,-1.124626622E-1,9.761537589E0
5.165054900E-1,5.338985324E-1,9.688838005E0,-1.627119333E-1,9.704901066E0
5.190115320E-1,4.884349108E-1,9.676874161E0,-1.890329868E-1,9.691036872E0
5.215175730E-1,4.740779996E-1,9.686445236E0,-2.273181528E-1,9.700703315E0
5.240236150E-1,4.812564552E-1,9.736694336E0,-2.608176768E-1,9.752069023E0
5.265296570E-1,4.956133962E-1,9.765408516E0,-2.727817893E-1,9.781781332E0
5.290356980E-1,5.099703074E-1,9.786943436E0,-2.416750938E-1,9.803200415E0
5.315416880E-1,5.219344497E-1,9.806086540E0,-1.794617027E-1,9.821606554E0
5.340477290E-1,5.434698462E-1,9.813264847E0,-1.172483116E-1,9.829001658E0
5.365537710E-1,5.721837282E-1,9.782157898E0,-3.349951655E-2,9.798935125E0
5.390598130E-1,6.128616929E-1,9.758230209E0,2.153540403E-2,9.777480250E0
5.415658540E-1,6.774678826E-1,9.741479874E0,5.024927482E-2,9.765137882E0
5.440718960E-1,7.348956466E-1,9.715159416E0,5.503492057E-2,9.743070509E0
5.465779380E-1,7.899305820E-1,9.722337723E0,3.349951655E-2,9.754433010E0
5.490839790E-1,8.572286963E-1,9.719944954E0,-2.392822644E-3,9.757672708E0
