"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.718010530E-1,1.055832982E0,7.821538925E0,6.140880108E0,1.000008315E1
1.743070940E-1,9.984052777E-1,7.811967850E0,6.121737480E0,9.974934815E0
1.768131880E-1,9.744769931E-1,7.819146156E0,6.119344711E0,9.976724499E0
1.793192300E-1,9.361918569E-1,7.840681553E0,6.104988098E0,9.981163363E0
1.818252710E-1,8.907282352E-1,7.831110477E0,6.112166405E0,9.973879198E0
1.843313650E-1,8.572286963E-1,7.831110477E0,6.112166405E0,9.970943311E0
1.868374070E-1,8.138588071E-1,7.819146156E0,6.093023777E0,9.946172707E0
1.893434490E-1,7.779664397E-1,7.821538925E0,6.097809315E0,9.948114463E0
1.918495420E-1,7.396813035E-1,7.828717709E0,6.081059456E0,9.940585169E0
1.943555840E-1,7.013961077E-1,7.831110477E0,6.064310074E0,9.929456404E0
1.968616260E-1,6.678966284E-1,7.819146156E0,6.049952984E0,9.908938572E0
1.993677190E-1,6.248258352E-1,7.792825222E0,6.028417587E0,9.872200913E0
2.018737610E-1,5.985047817E-1,7.800003529E0,6.018846035E0,9.870398706E0
2.043798030E-1,5.841478109E-1,7.816753387E0,6.016453266E0,9.881324410E0
2.068858960E-1,5.458626747E-1,7.821538925E0,6.023632050E0,9.887293881E0
2.093919380E-1,5.147559643E-1,7.795217991E0,6.009274960E0,9.856053103E0
2.118979800E-1,4.740779996E-1,7.785646915E0,6.002096653E0,9.842063405E0
2.144040740E-1,4.238287210E-1,7.773682594E0,5.987739563E0,9.821547584E0
2.169101150E-1,3.807578981E-1,7.788039684E0,5.947061539E0,9.806430525E0
2.194161570E-1,3.544368446E-1,7.790432453E0,5.915955067E0,9.788513045E0
2.219222510E-1,3.185445070E-1,7.792825222E0,5.865406513E0,9.758718620E0
2.244282920E-1,2.994019389E-1,7.804789066E0,5.846263885E0,9.756186515E0
2.269343340E-1,2.946162820E-1,7.804789066E0,5.851049423E0,9.758909287E0
2.294404280E-1,3.137588799E-1,7.807182312E0,5.851049423E0,9.761419960E0
2.319464690E-1,3.185445070E-1,7.792825222E0,5.886941910E0,9.771677471E0
2.344525110E-1,3.472583890E-1,7.766504288E0,5.930311680E0,9.777922778E0
2.369586050E-1,3.999004960E-1,7.740182877E0,5.944668770E0,9.767775497E0
2.394646460E-1,4.477569461E-1,7.735397339E0,5.968596935E0,9.780644542E0
2.419706880E-1,4.812564552E-1,7.721040249E0,5.999703884E0,9.789919152E0
2.444767820E-1,5.434698462E-1,7.699504852E0,6.014060497E0,9.785022131E0
2.469828240E-1,6.128616929E-1,7.699504852E0,6.030810356E0,9.799420798E0
2.494888650E-1,6.678966284E-1,7.699504852E0,6.054738522E0,9.817755316E0
2.519949590E-1,7.325028181E-1,7.692326546E0,6.064310074E0,9.822642452E0
2.545010010E-1,8.234301209E-1,7.689933777E0,6.064310074E0,9.827969034E0
2.570070420E-1,8.859425783E-1,7.697112083E0,6.071488380E0,9.843444510E0
2.595130840E-1,9.481559992E-1,7.689933777E0,6.071488380E0,9.843630044E0
2.620191780E-1,1.005583763E0,7.699504852E0,6.095416546E0,9.871558972E0
2.645252190E-1,1.043868899E0,7.682755470E0,6.112166405E0,9.872840121E0
2.670313130E-1,1.098903775E0,7.697112083E0,6.107380867E0,9.887023060E0
2.695373550E-1,1.141974568E0,7.694719315E0,6.133701801E0,9.906316623E0
2.720433960E-1,1.168295622E0,7.689933777E0,6.162415504E0,9.923475248E0
2.745494900E-1,1.192223907E0,7.699504852E0,6.160022736E0,9.932253164E0
2.770555320E-1,1.218544960E0,7.689933777E0,6.157629967E0,9.926547241E0
2.795615740E-1,1.216152072E0,7.682755470E0,6.174379826E0,9.931098817E0
2.820676150E-1,1.189831018E0,7.699504852E0,6.152844429E0,9.927515671E0
2.845737090E-1,1.204187989E0,7.689933777E0,6.157629967E0,9.924795062E0
2.870797510E-1,1.201795220E0,7.673183918E0,6.133701801E0,9.896684343E0
2.895858440E-1,1.189831018E0,7.680362701E0,6.104988098E0,9.883043497E0
2.920918860E-1,1.170688510E0,7.675576687E0,6.093023777E0,9.869646793E0
2.945979280E-1,1.141974568E0,7.682755470E0,6.073881149E0,9.860064389E0
2.971040210E-1,1.118046403E0,7.687541008E0,6.049952984E0,9.846331582E0
2.996100630E-1,1.079761267E0,7.677969456E0,6.040381432E0,9.828698143E0
3.021161050E-1,1.022333503E0,7.682755470E0,6.028417587E0,9.818946787E0
3.046221460E-1,9.960124493E-1,7.697112083E0,6.028417587E0,9.827481561E0
3.071282400E-1,9.529415965E-1,7.699504852E0,6.030810356E0,9.826553119E0
3.096342820E-1,8.787640929E-1,7.709076405E0,6.037988663E0,9.831550866E0
3.121403760E-1,8.186444640E-1,7.718647480E0,6.037988663E0,9.833870284E0
3.146464170E-1,7.660023570E-1,7.699504852E0,6.006882191E0,9.795497345E0
3.171525110E-1,6.822535396E-1,7.706683636E0,5.970989704E0,9.772981152E0
3.196585530E-1,6.320042610E-1,7.704290867E0,5.932704449E0,9.744357815E0
