"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.695418390E-1,7.205387354E-1,7.026822567E0,7.225427151E0,1.010456377E1
1.720980360E-1,6.918248534E-1,7.043572426E0,7.239784241E0,1.012447579E1
1.746542340E-1,6.774678826E-1,7.060322285E0,7.242177010E0,1.013687532E1
1.772104320E-1,6.774678826E-1,7.074679375E0,7.232605457E0,1.014005092E1
1.797666300E-1,6.798607111E-1,7.079464912E0,7.246962547E0,1.015379240E1
1.823228280E-1,6.559324861E-1,7.093822002E0,7.254140854E0,1.016735548E1
1.848790260E-1,6.296114326E-1,7.101000309E0,7.268497944E0,1.018094683E1
1.874352240E-1,6.176473498E-1,7.093822002E0,7.294818878E0,1.019402675E1
1.899914220E-1,5.937191248E-1,7.086643219E0,7.292426109E0,1.018589677E1
1.925476200E-1,5.578267574E-1,7.072286606E0,7.292426109E0,1.017388260E1
1.951038180E-1,5.219344497E-1,7.077072144E0,7.263712406E0,1.015474685E1
1.976600160E-1,5.003990531E-1,7.081857681E0,7.218248844E0,1.012453573E1
2.002162140E-1,4.860421121E-1,7.072286606E0,7.179963589E0,1.008986382E1
2.027724110E-1,4.645066857E-1,7.065107822E0,7.144071102E0,1.005829344E1
2.053286090E-1,4.549354017E-1,7.055536747E0,7.101000309E0,1.002056737E1
2.078848070E-1,4.334000051E-1,7.036394119E0,7.072286606E0,9.985785678E0
2.104410050E-1,4.310071766E-1,7.036394119E0,7.041179657E0,9.963675042E0
2.129972030E-1,4.238287210E-1,7.017251492E0,7.012166977E0,9.929347158E0
2.155534010E-1,4.334000051E-1,7.012166977E0,6.981060028E0,9.904217303E0
2.181095990E-1,4.022932947E-1,6.997809887E0,6.945167542E0,9.867448266E0
2.206657970E-1,4.070789516E-1,6.983452797E0,6.911668301E0,9.833894698E0
2.232219950E-1,4.166502357E-1,6.985845566E0,6.866204739E0,9.804101346E0
2.257781930E-1,4.046861231E-1,7.000202656E0,6.861418724E0,9.810488010E0
