"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.769275550E-1,6.750751138E-1,9.459127426E0,2.441875458E0,9.792526427E0
1.794837530E-1,7.133602500E-1,9.473484039E0,2.465803623E0,9.815088904E0
1.820399510E-1,7.325028181E-1,9.463912964E0,2.480160713E0,9.810882026E0
1.845961490E-1,7.540382147E-1,9.463912964E0,2.472982168E0,9.810701454E0
1.871523470E-1,7.803592682E-1,9.454340935E0,2.472982168E0,9.803528135E0
1.897085450E-1,7.851449251E-1,9.442377090E0,2.470589399E0,9.791769485E0
1.922647420E-1,8.114659786E-1,9.428020477E0,2.468196630E0,9.779470423E0
1.948209400E-1,8.691928387E-1,9.387342453E0,2.456232548E0,9.742216013E0
1.973771380E-1,8.883354068E-1,9.363413811E0,2.461018085E0,9.722102036E0
1.999333360E-1,9.218349457E-1,9.353842735E0,2.468196630E0,9.717826310E0
2.024895340E-1,9.672985673E-1,9.341878891E0,2.475374937E0,9.712561393E0
2.050457320E-1,1.027119160E0,9.341878891E0,2.484946251E0,9.721143598E0
2.076019300E-1,1.077368379E0,9.344271660E0,2.508874655E0,9.735018619E0
2.101581280E-1,1.141974568E0,9.361021042E0,2.530709028E0,9.764082601E0
2.127143260E-1,1.182652593E0,9.372985840E0,2.540280342E0,9.782870485E0
2.152705240E-1,1.208973646E0,9.411270142E0,2.547458887E0,9.824620590E0
2.178267220E-1,1.228116274E0,9.439984322E0,2.537887573E0,9.852027553E0
2.203829200E-1,1.232901812E0,9.449555397E0,2.504088879E0,9.853152043E0
2.229391170E-1,1.223330617E0,9.451948166E0,2.461018085E0,9.843397378E0
2.254953150E-1,1.204187989E0,9.466305733E0,2.429911375E0,9.847105272E0
2.280515130E-1,1.175474167E0,9.447162628E0,2.427518606E0,9.824635760E0
2.306077110E-1,1.149153113E0,9.437591553E0,2.425125837E0,9.811723728E0
2.331639090E-1,1.137188911E0,9.416056633E0,2.417947292E0,9.787838896E0
2.357201070E-1,1.103689432E0,9.401699066E0,2.410768747E0,9.768412442E0
2.382763050E-1,1.084546804E0,9.394520760E0,2.420340061E0,9.761726696E0
2.408325030E-1,1.067797065E0,9.365806580E0,2.422732830E0,9.732839145E0
2.433887010E-1,1.058225870E0,9.349057198E0,2.432304144E0,9.718066470E0
2.459448990E-1,1.067797065E0,9.339486122E0,2.444268227E0,9.712910931E0
2.485010970E-1,1.048654556E0,9.334700584E0,2.463410854E0,9.711060932E0
2.510572950E-1,1.031904817E0,9.372985840E0,2.484946251E0,9.751545979E0
2.536134920E-1,1.015154958E0,9.365806580E0,2.489732027E0,9.744107863E0
2.561696900E-1,1.015154958E0,9.392127991E0,2.487339020E0,9.768800499E0
2.587258880E-1,9.864411354E-1,9.416056633E0,2.489732027E0,9.789481814E0
2.612737010E-1,9.672985673E-1,9.439984322E0,2.465803623E0,9.804547823E0
2.637964610E-1,9.290133715E-1,9.478269577E0,2.461018085E0,9.836527336E0
2.663025030E-1,8.931210637E-1,9.497411728E0,2.446661234E0,9.848078288E0
2.688085970E-1,8.931210637E-1,9.511769295E0,2.449054003E0,9.862519245E0
2.713146380E-1,8.620143533E-1,9.511769295E0,2.463410854E0,9.863326868E0
2.738207320E-1,8.353942037E-1,9.495018959E0,2.489732027E0,9.851499078E0
2.763267740E-1,8.210372925E-1,9.461520195E0,2.489732027E0,9.818005510E0
2.788328670E-1,8.066803217E-1,9.437591553E0,2.496910334E0,9.795582100E0
2.813389090E-1,7.995018363E-1,9.418449402E0,2.513660192E0,9.780842494E0
2.838450030E-1,7.875377536E-1,9.404091835E0,2.494517565E0,9.761136042E0
2.863510970E-1,7.779664397E-1,9.372985840E0,2.475374937E0,9.725511627E0
2.888571380E-1,7.731808424E-1,9.372985840E0,2.484946251E0,9.727570613E0
2.913631800E-1,7.636095285E-1,9.370592117E0,2.475374937E0,9.722066510E0
2.938692740E-1,7.827520967E-1,9.382556915E0,2.477767944E0,9.735728483E0
2.963753150E-1,7.803592682E-1,9.394520760E0,2.487339020E0,9.749504412E0
2.988814090E-1,7.731808424E-1,9.428020477E0,2.501696110E0,9.784879261E0
3.013874510E-1,7.899305820E-1,9.449555397E0,2.518445730E0,9.811251522E0
3.038934920E-1,8.018946648E-1,9.478269577E0,2.528316259E0,9.842408869E0
3.063995860E-1,8.042874932E-1,9.497411728E0,2.516052961E0,9.857901927E0
3.089056280E-1,8.114659786E-1,9.502198219E0,2.494517565E0,9.857629832E0
3.114117220E-1,7.899305820E-1,9.502198219E0,2.492124796E0,9.855275101E0
3.139177630E-1,7.468597889E-1,9.483055115E0,2.489732027E0,9.832847981E0
3.164238570E-1,7.372884750E-1,9.480662346E0,2.463410854E0,9.823184099E0
3.189298990E-1,7.109674215E-1,9.478269577E0,2.451446772E0,9.815939085E0
3.214359920E-1,7.037889361E-1,9.473484039E0,2.422732830E0,9.803665288E0
3.239420340E-1,7.061817646E-1,9.430413246E0,2.405983210E0,9.758080850E0
3.264481280E-1,7.061817646E-1,9.408877373E0,2.398804665E0,9.735498442E0
3.289541700E-1,7.037889361E-1,9.382556915E0,2.415554523E0,9.714041218E0
3.314602630E-1,7.325028181E-1,9.389735222E0,2.420340061E0,9.724285780E0
3.339663050E-1,7.468597889E-1,9.372985840E0,2.427518606E0,9.710999417E0
3.364723470E-1,7.779664397E-1,9.375378609E0,2.449054003E0,9.721153293E0
3.389784400E-1,7.636095285E-1,9.382556915E0,2.458625317E0,9.729353125E0
3.414844820E-1,7.803592682E-1,9.389735222E0,2.468196630E0,9.740024781E0
3.439905760E-1,7.923234105E-1,9.411270142E0,2.501696110E0,9.770274586E0
3.464966170E-1,7.971090674E-1,9.425627708E0,2.494517565E0,9.782661113E0
3.490027110E-1,7.923234105E-1,9.423234940E0,2.511267424E0,9.784252510E0
3.515087530E-1,8.042874932E-1,9.439984322E0,2.520838737E0,9.803816109E0
3.540148470E-1,8.210372925E-1,9.432806015E0,2.496910334E0,9.792164866E0
3.565208880E-1,8.452646136E-1,9.430413246E0,2.489732027E0,9.790093556E0
3.590269820E-1,8.691928387E-1,9.423234940E0,2.458625317E0,9.777407190E0
3.615330240E-1,8.596215248E-1,9.408877373E0,2.456232548E0,9.762120718E0
3.640391170E-1,8.787640929E-1,9.404091835E0,2.432304144E0,9.753218598E0
3.665451590E-1,8.931210637E-1,9.384949684E0,2.427518606E0,9.734875058E0
3.690512530E-1,9.002995491E-1,9.372985840E0,2.422732830E0,9.722810149E0
3.715572950E-1,9.026923180E-1,9.368199348E0,2.437089920E0,9.722006981E0
3.740633880E-1,9.194421172E-1,9.375378609E0,2.449054003E0,9.733496975E0
3.765694300E-1,9.290133715E-1,9.368199348E0,2.463410854E0,9.731115964E0
