Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2),magnitude
10.00384188,-1.8840487,15.00150204,-2.226521492,15.28241149,
10.00634787,-1.992024899,15.54975796,-2.037488461,15.80868416,
10.00885386,-2.049452543,16.05494308,-1.996810555,16.30793382,
10.01135985,-2.003988981,16.77787399,-2.46819663,17.07644642,
10.01386584,-2.082952023,17.76670837,-3.375674486,18.20411475,
10.01637183,-2.45383954,18.77199364,-4.378865242,19.4315088,
10.01887787,-3.117249727,19.82782555,-5.281258583,20.75455622,
10.02138386,-4.105784416,20.68744659,-5.532804012,21.80458283,
10.02388985,-5.298008442,21.30988121,-5.152046204,22.55489993,
10.02639584,-6.571887493,21.63081741,-4.407579422,23.03277499,
10.02890183,-7.742575645,21.62603188,-3.619742393,23.25371513,
10.03140782,-8.700303078,21.32423782,-2.832204819,23.20430513,
10.03391381,-9.346664429,20.79033852,-2.159522533,22.89676504,
10.0364198,-9.684052467,20.04347801,-1.67587316,22.32331592,
10.03892578,-9.686445236,19.22692871,-1.594517231,21.5880637,
10.04143178,-9.428020477,18.44896126,-2.008774519,20.81554507,
10.04393776,-8.968298912,17.75474358,-2.769991398,20.08318095,
10.04644381,-8.247760773,17.41705704,-3.488137245,19.58434413,
10.0489498,-7.373782158,17.68774414,-3.87368083,19.5508148,
10.05145578,-6.602993965,18.48006821,-3.92392993,20.01273785,
10.05396178,-6.104988098,19.53111649,-3.737289906,20.8015078,
10.05646776,-5.827121258,20.48884392,-3.457030535,21.58006319,
10.05897375,-5.549553871,21.13520432,-3.090928555,22.06916965,
10.06147974,-5.106582642,21.34098625,-2.913560629,22.13602756,
10.06398573,-4.359723091,21.08016968,-3.265604734,21.7725725,
10.06649172,-3.349353552,20.55105591,-4.386044025,21.2791318,
10.06899771,-2.226521492,19.95494461,-6.037988663,20.96698642,
10.0715037,-1.163509965,19.44018936,-7.642077446,20.92070901,
10.07400974,-0.1387837082,19.07857323,-8.539685249,20.90304862,
10.07651573,0.8548358679,18.79861259,-8.453543663,20.62961416,
10.07902172,1.687837243,18.36042786,-7.40488863,19.86923454,
10.08152771,2.271985054,17.43859291,-5.784050465,18.51274368,
10.0840337,2.944667339,16.19133377,-4.100998878,16.9602048,
10.08653969,4.079463482,15.11875057,-2.923131943,15.92995108,
10.08904568,5.532804012,14.57049561,-2.691028118,15.81622252,
10.09155167,6.899703979,14.36949825,-3.198605776,16.25790497,
10.09405766,7.819146156,14.22562981,-4.242474556,16.77814592,
10.09656365,8.305188179,13.94566917,-5.755336761,17.22154873,
10.09906964,8.539685249,13.84038544,-7.287640572,17.82111664,
10.10157568,8.678468704,14.30967808,-8.360222816,18.70764633,
10.10408167,8.53729248,15.07807255,-8.925228119,19.49085251,
10.10658766,7.912466049,15.69811249,-9.071190834,19.78191997,
10.10909365,6.777669907,16.55025673,-8.625826836,19.85579754,
10.11159964,5.26690197,18.58774567,-7.756932735,20.81861068,
10.11410563,3.382853031,21.14477539,-6.995417118,22.52734076,
10.11661162,1.1395818,21.62364006,-5.973382473,22.4624521,
10.11911761,-0.555433929,17.41944885,-2.195414782,17.56603402,
10.1216236,-0.03349951655,9.794121742,2.236092806,10.04619599,
10.12412959,2.236092806,2.396411896,2.688635349,4.239299594,
10.12663563,5.202295303,-2.963809967,-0.01914258115,5.987354373,
10.12914162,8.379365921,-6.028417587,-3.344567776,10.85088593,
10.13164761,11.51097202,-6.744170666,-5.63090992,14.4807963,
10.1341536,14.23280811,-5.149653435,-6.519245148,16.48005809,
10.13665959,16.26311874,-1.742872238,-6.480959892,17.59344981,
10.13916558,17.3620224,2.604886532,-6.181558132,18.61281592,
10.14167157,17.51994896,6.964310169,-5.88694191,19.75110915,
10.14417756,16.86401558,10.53170967,-5.638088226,20.6663971,
10.14668355,15.6741848,13.08126259,-5.168796062,21.05981844,
10.14918954,13.83320713,14.59681606,-3.797110319,20.46564696,
10.15169553,11.41496086,14.90818214,-2.315055847,18.91863393,
10.15420152,8.599505424,13.95045471,-1.738086581,16.47991581,
10.15670756,5.647659779,12.10229874,-1.860120535,13.48412934,
10.15921355,2.839383125,9.873384476,-1.924726725,10.45229116,
10.16171954,0.4405784607,7.670791149,-1.915155411,7.918520473,
10.16422552,-1.338186026,5.709873199,-2.11645174,6.234802464,
10.16673152,-2.659921408,4.096213341,-2.480160713,5.477713281,
10.1692375,-3.684647799,2.892025232,-2.753241539,5.433302708,
10.17174349,-4.42672205,2.082952023,-2.877668381,5.675872844,
10.17424948,-4.829015255,1.568196177,-2.954238653,5.874193868,
10.17675547,-4.807479858,1.24965167,-3.035594702,5.821368145,
10.17926146,-4.266402721,1.134796143,-3.112463951,5.401609604,
10.1817675,-3.287140131,1.259222865,-3.119642496,4.703520146,
10.18427349,-2.068595171,1.647159338,-3.021237612,4.014984007,
10.18677948,-0.7109674215,2.233700037,-2.894418001,3.724586701,
10.18928547,0.6128616929,2.88006115,-2.813062191,4.072305314,
10.19179146,1.807478428,3.478565931,-2.801098108,4.81804419,
10.19429745,2.803490877,3.935894251,-2.810669184,5.590231293,
10.19680344,3.574278831,4.29750967,-2.872882605,6.284704686,
10.19930943,4.103391647,4.529613495,-2.973381281,6.796779948,
10.20181542,4.386044025,4.630111694,-3.117249727,7.098771891,
10.20432141,4.510470867,4.594219685,-3.258426189,7.215853601,
10.20682745,4.558327198,4.52482748,-3.370888948,7.253640663,
10.20933344,4.551148891,4.433900356,-3.457030535,7.233497682,
10.21183943,4.496113777,4.290330887,-3.483351469,7.124304575,
10.21434542,4.448257446,4.139284134,-3.466601849,6.995569729,
10.21685141,4.409972191,3.964607954,-3.44985199,6.860572112,
10.2193574,4.371686935,3.811467409,-3.39960289,6.722814164,
10.22186339,4.350151539,3.694219112,-3.337389469,6.611296524,
10.22436938,4.338187218,3.583850145,-3.265604734,6.505999115,
10.22687537,4.350151539,3.492922783,-3.196212769,6.429627053,
10.22938136,4.376472473,3.466601849,-3.083451033,6.377970677,
10.23188735,4.388436794,3.435495138,-2.951845884,6.306694734,
10.23439339,4.386044025,3.394817114,-2.769991398,6.199598195,
10.23689938,4.345366001,3.397209883,-2.602493763,6.098869933,
10.23940537,4.290330887,3.366103172,-2.415554523,5.964268047,
10.24191136,4.223331928,3.344567776,-2.209771633,5.822865004,
10.24441735,4.17517662,3.323032379,-2.011167526,5.702581768,
10.24692334,4.194318771,3.378067255,-1.790728688,5.675416951,
10.24942933,4.244867325,3.459423304,-1.659123421,5.721817781,
10.25193532,4.309473515,3.483351469,-1.611266971,5.770743512,
10.25444131,4.342973232,3.485744476,-1.637588024,5.804612441,
10.2569473,4.400400639,3.543172121,-1.754836321,5.915830032,
10.25945334,4.448257446,3.61017108,-1.831406593,6.014514082,
10.26195933,4.445864677,3.732504129,-1.903191328,6.108963663,
10.26446532,4.457828522,3.892823458,-1.970489502,6.237719013,
10.26697131,4.476971149,4.04835701,-2.042274237,6.372075738,
10.2694773,4.520041943,4.199104786,-2.130808592,6.527143741,
10.27198329,4.60379076,4.33340168,-2.274377823,6.719081333,
10.27448928,4.644468784,4.340580463,-2.204986095,6.72857286,
10.27699526,4.740181446,4.319045067,-2.068595171,6.738141911,
10.27950125,4.857728958,4.247260094,-2.02073884,6.76166654,
10.28200724,4.991727352,4.242474556,-2.068595171,6.869863048,
10.28451323,5.087440014,4.299902439,-2.106880426,6.986426269,
10.28701928,5.1735816,4.472185612,-2.224128723,7.191184833,
10.28952526,5.175974369,4.661218643,-2.324627161,7.343130214,
10.29203125,5.104189873,4.709074974,-2.183450699,7.279807575,
10.29453724,5.022833824,4.65403986,-1.970489502,7.125431602,
10.29704323,4.915156841,4.584648132,-1.790728688,6.955894946,
10.29954922,4.862514496,4.529613495,-1.697408557,6.858763842,
10.30205521,4.860121727,4.563112736,-1.695015788,6.878652452,
10.3045612,4.850550652,4.570291042,-1.72372961,6.883795872,
10.30706719,4.90319252,4.541577339,-1.721336842,6.901465217,
10.30957323,5.015655518,4.536791801,-1.781157374,6.993697285,
10.31207922,5.178367138,4.632504463,-1.903191328,7.204007291,
10.31458521,5.312365532,4.824229717,-2.037488461,7.459609851,
10.3170912,5.417948723,5.008476734,-2.10209465,7.67188435,
10.31959719,5.511268616,5.175974369,-2.118844509,7.852024865,
10.32210318,5.587839127,5.324329376,-2.202593327,8.026446709,
10.32460917,5.673980713,5.494519234,-2.274377823,8.219281795,
10.32711516,5.731408596,5.712265968,-2.365305185,8.430521669,
10.32962115,5.75772953,5.951847076,-2.343769789,8.606345902,
10.33212714,5.800800323,6.234200478,-2.353341103,8.834746987,
10.33463318,5.884549141,6.485745907,-2.35812664,9.069375933,
10.33713917,5.997310638,6.681957245,-2.465803623,9.31109419,
10.33964516,6.164808273,6.722635269,-2.714956284,9.516810055,
10.34215115,6.351448536,6.710670948,-3.040380239,9.727174054,
10.34465714,6.51445961,6.689135551,-3.212962627,9.874504913,
10.34716313,6.636493683,6.736992359,-3.203391314,9.984579628,
10.34966912,6.753741741,6.928418159,-3.021237612,10.1362657,
10.35217511,6.820741177,7.211070061,-2.789133787,10.31025261,
10.3546811,6.902096748,7.536494255,-2.533101797,10.52873639,
10.35718709,6.969096184,7.878966808,-2.35812664,10.77994345,
10.35969308,7.031608582,8.214261055,-2.281556368,11.05093224,
10.36219912,7.101000309,8.542078018,-2.300698996,11.34391987,
10.36470511,7.187141895,8.841479301,-2.374876499,11.63902072,
10.3672111,7.24217701,9.09990406,-2.492124796,11.89403496,
10.36971709,7.321139812,9.375378609,-2.607279301,12.17763185,
10.37222308,7.414460182,9.674481392,-2.781955481,12.50236323,
10.37472907,7.519744396,10.00977516,-2.932703257,12.85857313,
10.37723506,7.661220074,10.35673428,-3.037987471,13.23576993,
10.37974105,7.800003529,10.70877838,-3.126821041,13.61231058,
10.38224704,7.986643791,11.0440731,-3.215355396,14.00344744,
10.38475302,8.171190262,11.38863945,-3.35413909,14.41248444,
10.38725907,8.33150959,11.72632694,-3.54556489,14.81525653,
10.38976506,8.448758125,12.04696465,-3.727718592,15.17915534,
10.39227105,8.510971069,12.32722378,-3.911965847,15.48226571,
10.39477704,8.5085783,12.52104282,-4.089034557,15.68096367,
10.39728302,8.408080101,12.69841099,-4.232903481,15.807053,
10.39978902,8.197511673,12.91376495,-4.326223373,15.89593444,
10.402295,7.948358536,13.11236858,-4.429114819,15.9601902,
10.40480099,7.65404129,13.33041477,-4.567898273,16.03589725,
