"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
5.649972296E1,4.780588240E1,9.093049485E0,6.288957138E2,4.199999869E-1,1.121484375E2,5.000000000E0,5.000000000E0
5.747254896E1,4.780588341E1,9.093065076E0,6.287672546E2,7.900000215E-1,1.093359375E2,5.000000000E0,5.000000000E0
5.849271500E1,4.780587746E1,9.093081169E0,6.286532125E2,1.309999943E0,1.691015625E2,5.000000000E0,5.000000000E0
5.947477102E1,4.780586786E1,9.093093239E0,6.285032197E2,1.309999943E0,1.691015625E2,5.000000000E0,5.000000000E0
6.046823394E1,4.780586484E1,9.093099022E0,6.282287574E2,1.800000072E-1,1.691015625E2,5.000000000E0,5.000000000E0
6.149623096E1,4.780586484E1,9.093099022E0,6.281194174E2,0.000000000E0,1.691015625E2,5.000000000E0,5.000000000E0
6.250474000E1,4.780587461E1,9.093110086E0,6.281499801E2,1.379999995E0,1.691015625E2,5.000000000E0,5.000000000E0
6.349810398E1,4.780587834E1,9.093128862E0,6.280939972E2,1.409999967E0,1.691015625E2,5.000000000E0,5.000000000E0
6.450102198E1,4.780588835E1,9.093142524E0,6.281212089E2,1.379999995E0,4.394531250E1,5.000000000E0,5.000000000E0
6.548782802E1,4.780589615E1,9.093147973E0,6.280920760E2,1.370000005E0,1.691015625E2,5.000000000E0,5.000000000E0
6.648572791E1,4.780590047E1,9.093145039E0,6.281879393E2,8.399999738E-1,6.679687500E1,5.000000000E0,5.000000000E0
6.748705602E1,4.780590579E1,9.093151409E0,6.281984610E2,1.110000014E0,6.679687500E1,5.000000000E0,5.000000000E0
6.848087001E1,4.780590579E1,9.093151409E0,6.283430825E2,0.000000000E0,6.679687500E1,5.000000000E0,5.000000000E0
6.949386096E1,4.780590579E1,9.093151409E0,6.284992027E2,0.000000000E0,6.679687500E1,5.000000000E0,5.000000000E0
7.050248897E1,4.780590579E1,9.093151409E0,6.285575666E2,0.000000000E0,6.714843750E1,5.000000000E0,5.000000000E0
7.150219297E1,4.780590826E1,9.093174879E0,6.285120739E2,7.099999785E-1,6.714843750E1,5.000000000E0,5.000000000E0
7.249420798E1,4.780590927E1,9.093180913E0,6.286601942E2,7.099999785E-1,6.714843750E1,5.000000000E0,5.000000000E0
7.348868692E1,4.780590659E1,9.093190888E0,6.283004846E2,7.099999785E-1,9.035156250E1,5.000000000E0,5.000000000E0
7.448518193E1,4.780590503E1,9.093209747E0,6.283821687E2,1.230000019E0,8.964843750E1,5.000000000E0,5.000000000E0
7.547243798E1,4.780590382E1,9.093232630E0,6.284434843E2,1.289999962E0,8.367187500E1,5.000000000E0,5.000000000E0
7.647050691E1,4.780590286E1,9.093253501E0,6.281947734E2,1.440000057E0,7.980468750E1,5.000000000E0,5.000000000E0
7.749781895E1,4.780590449E1,9.093280742E0,6.282242514E2,2.180000067E0,8.367187500E1,5.000000000E0,5.000000000E0
7.850153995E1,4.780590315E1,9.093307564E0,6.282395871E2,1.860000014E0,9.351562500E1,5.000000000E0,5.000000000E0
7.950093901E1,4.780589829E1,9.093332961E0,6.279612696E2,1.860000014E0,1.040625000E2,5.000000000E0,5.000000000E0
8.049902797E1,4.780588991E1,9.093354754E0,6.280355954E2,1.450000048E0,1.139062500E2,5.000000000E0,5.000000000E0
8.149579298E1,4.780588261E1,9.093366237E0,6.280147775E2,1.450000048E0,1.216406250E2,1.000000000E1,1.000000000E1
8.248778796E1,4.780587746E1,9.093373613E0,6.275859440E2,1.009999990E0,1.163671875E2,5.000000000E0,5.000000000E0
8.347540593E1,4.780587587E1,9.093384091E0,6.275283559E2,9.100000262E-1,1.142578125E2,5.000000000E0,5.000000000E0
8.447930598E1,4.780587675E1,9.093396412E0,6.272095186E2,7.200000286E-1,1.037109375E2,5.000000000E0,5.000000000E0
8.546474302E1,4.780587729E1,9.093408147E0,6.266586615E2,9.399999976E-1,1.086328125E2,5.000000000E0,5.000000000E0
8.649975300E1,4.780587687E1,9.093423905E0,6.266733714E2,1.259999990E0,9.843750000E1,5.000000000E0,5.000000000E0
8.751091492E1,4.780587796E1,9.093436897E0,6.264764237E2,1.120000005E0,9.316406250E1,5.000000000E0,5.000000000E0
8.850229394E1,4.780587976E1,9.093452068E0,6.266099303E2,1.259999990E0,8.824218750E1,1.000000000E1,1.000000000E1
8.949655294E1,4.780588995E1,9.093467407E0,6.265877106E2,1.820000052E0,5.343750000E1,1.000000000E1,1.000000000E1
9.048945296E1,4.780590537E1,9.093478555E0,6.265959403E2,1.820000052E0,3.164062500E1,5.000000000E0,5.000000000E0
9.147311401E1,4.780591723E1,9.093483835E0,6.267993941E2,1.590000033E0,2.214843750E1,1.000000000E1,1.000000000E1
9.246809196E1,4.780592591E1,9.093489954E0,6.268993435E2,1.460000038E0,3.867187500E1,1.000000000E1,1.000000000E1
9.349989498E1,4.780593152E1,9.093493475E0,6.266003173E2,6.800000072E-1,4.500000000E1,1.000000000E1,1.000000000E1
9.450817800E1,4.780593345E1,9.093492636E0,6.264046314E2,6.800000072E-1,4.851562500E1,1.000000000E1,1.000000000E1
9.550387502E1,4.780593856E1,9.093492804E0,6.262644374E2,6.800000072E-1,1.757812500E1,1.000000000E1,1.000000000E1
9.650358796E1,4.780594430E1,9.093493391E0,6.260116779E2,8.199999928E-1,2.250000000E1,5.000000000E0,5.000000000E0
9.749330592E1,4.780594606E1,9.093493391E0,6.260725272E2,8.199999928E-1,2.707031250E1,5.000000000E0,5.000000000E0
9.848365092E1,4.780594510E1,9.093496073E0,6.261960809E2,6.700000167E-1,3.445312500E1,1.000000000E1,1.000000000E1
9.946631992E1,4.780594175E1,9.093509149E0,6.261030495E2,1.809999943E0,7.101562500E1,1.000000000E1,1.000000000E1
1.004702950E2,4.780593982E1,9.093522057E0,6.262014710E2,6.700000167E-1,8.367187500E1,5.000000000E0,5.000000000E0
1.015030930E2,4.780593433E1,9.093522392E0,6.263036212E2,4.199999869E-1,9.035156250E1,1.000000000E1,1.000000000E1
1.025019900E2,4.780593345E1,9.093525326E0,6.263777779E2,7.799999714E-1,4.289062500E1,1.000000000E1,1.000000000E1
1.035111150E2,4.780593588E1,9.093539575E0,6.265518709E2,1.509999990E0,6.328125000E1,1.000000000E1,1.000000000E1
1.045037639E2,4.780594057E1,9.093561200E0,6.265347446E2,1.460000038E0,6.644531250E1,1.000000000E1,1.000000000E1
1.055012920E2,4.780593969E1,9.093583580E0,6.266242653E2,1.460000038E0,9.105468750E1,1.000000000E1,1.000000000E1
1.064862410E2,4.780593135E1,9.093595147E0,6.266832757E2,6.499999762E-1,9.773437500E1,1.000000000E1,1.000000000E1
1.074713280E2,4.780591769E1,9.093604870E0,6.266969999E2,1.159999967E0,1.536328125E2,1.000000000E1,1.000000000E1
1.084768159E2,4.780590562E1,9.093617108E0,6.267709023E2,1.159999967E0,1.311328125E2,5.000000000E0,5.000000000E0
1.094992290E2,4.780589795E1,9.093635296E0,6.267283612E2,1.159999967E0,1.241015625E2,5.000000000E0,5.000000000E0
1.105033300E2,4.780589875E1,9.093657760E0,6.267089779E2,8.299999833E-1,1.054687500E2,1.000000000E1,1.000000000E1
1.114993540E2,4.780590298E1,9.093674859E0,6.265228775E2,8.700000048E-1,9.386718750E1,1.000000000E1,1.000000000E1
1.124996530E2,4.780590612E1,9.093690449E0,6.265417016E2,8.700000048E-1,8.472656250E1,1.000000000E1,1.000000000E1
1.134940670E2,4.780590659E1,9.093705369E0,6.261809938E2,8.700000048E-1,1.033593750E2,1.000000000E1,1.000000000E1
1.144865810E2,4.780590520E1,9.093718277E0,6.260708170E2,3.799999952E-1,1.096875000E2,1.000000000E1,1.000000000E1
1.154709760E2,4.780590457E1,9.093728252E0,6.259452121E2,6.499999762E-1,1.058203125E2,5.000000000E0,5.000000000E0
1.164705060E2,4.780590726E1,9.093744764E0,6.259097491E2,9.499999881E-1,9.492187500E1,1.000000000E1,1.000000000E1
1.175007989E2,4.780590717E1,9.093763120E0,6.259936423E2,9.599999785E-1,1.121484375E2,5.000000000E0,5.000000000E0
1.185044990E2,4.780590550E1,9.093776867E0,6.257503007E2,9.499999881E-1,1.100390625E2,5.000000000E0,5.000000000E0
1.195058039E2,4.780590403E1,9.093793798E0,6.256930102E2,9.599999785E-1,1.114453125E2,1.000000000E1,1.000000000E1
1.205043620E2,4.780589988E1,9.093806287E0,6.256595046E2,4.600000083E-1,1.040625000E2,1.000000000E1,1.000000000E1
1.214932410E2,4.780590068E1,9.093809472E0,6.257679843E2,4.600000083E-1,1.019531250E2,1.000000000E1,1.000000000E1
1.224853020E2,4.780589875E1,9.093817016E0,6.257407357E2,4.600000083E-1,9.562500000E1,1.000000000E1,1.000000000E1
1.234712659E2,4.780590089E1,9.093827326E0,6.257467077E2,5.099999905E-1,5.414062500E1,1.000000000E1,1.000000000E1
1.244799479E2,4.780591057E1,9.093845682E0,6.260861820E2,8.799999952E-1,4.851562500E1,1.000000000E1,1.000000000E1
1.254919170E2,4.780592603E1,9.093866386E0,6.266288921E2,1.700000048E0,3.832031250E1,1.000000000E1,1.000000000E1
1.265057449E2,4.780593718E1,9.093884407E0,6.264089091E2,1.700000048E0,3.937500000E1,1.000000000E1,1.000000000E1
1.275010090E2,4.780594347E1,9.093897901E0,6.265341502E2,1.509999990E0,4.042968750E1,1.000000000E1,1.000000000E1
1.284970390E2,4.780593953E1,9.093909133E0,6.266261898E2,8.000000119E-1,4.816406250E1,1.000000000E1,1.000000000E1
1.294934319E2,4.780593584E1,9.093928328E0,6.266662303E2,1.210000038E0,7.804687500E1,1.000000000E1,1.000000000E1
1.304899050E2,4.780593659E1,9.093954898E0,6.268568292E2,1.340000033E0,6.996093750E1,1.000000000E1,1.000000000E1
1.314669039E2,4.780594028E1,9.093982643E0,6.269020277E2,1.340000033E0,6.855468750E1,1.000000000E1,1.000000000E1
1.324639690E2,4.780594250E1,9.094005022E0,6.269888601E2,1.340000033E0,7.031250000E1,5.000000000E0,5.000000000E0
1.335057600E2,4.780594263E1,9.094018852E0,6.272714200E2,5.799999833E-1,7.980468750E1,5.000000000E0,5.000000000E0
1.345062150E2,4.780593898E1,9.094028492E0,6.274875418E2,6.999999881E-1,1.089843750E2,1.000000000E1,1.000000000E1
1.355072780E2,4.780593567E1,9.094035197E0,6.276584913E2,5.799999833E-1,1.019531250E2,1.000000000E1,1.000000000E1
1.365001949E2,4.780593152E1,9.094043411E0,6.278069383E2,6.999999881E-1,1.128515625E2,1.000000000E1,1.000000000E1
1.374962649E2,4.780592360E1,9.094059840E0,6.279490512E2,8.700000048E-1,1.188281250E2,1.000000000E1,1.000000000E1
1.384813550E2,4.780591627E1,9.094070066E0,6.285615531E2,4.199999869E-1,1.371093750E2,1.000000000E1,1.000000000E1
1.394662130E2,4.780591627E1,9.094070066E0,6.287091508E2,0.000000000E0,1.719140625E2,1.000000000E1,1.000000000E1
1.404810259E2,4.780591627E1,9.094070066E0,6.288281245E2,0.000000000E0,1.719140625E2,1.000000000E1,1.000000000E1
1.415000809E2,4.780591627E1,9.094070066E0,6.293166227E2,0.000000000E0,1.293750000E2,1.000000000E1,1.000000000E1
1.424640579E2,4.780589858E1,9.094110383E0,6.294324799E2,8.899999857E-1,1.219921875E2,1.000000000E1,1.000000000E1
1.435049330E2,4.780589280E1,9.094115663E0,6.296916818E2,4.199999869E-1,1.205859375E2,1.000000000E1,1.000000000E1
1.444990109E2,4.780588513E1,9.094121866E0,6.299247656E2,4.699999988E-1,1.265625000E2,1.000000000E1,1.000000000E1
1.454960190E2,4.780587851E1,9.094126392E0,6.301505021E2,4.699999988E-1,1.448437500E2,1.000000000E1,1.000000000E1
1.464819160E2,4.780587851E1,9.094126392E0,6.304049420E2,0.000000000E0,1.543359375E2,1.000000000E1,1.000000000E1
1.474671910E2,4.780587851E1,9.094126392E0,6.307106901E2,0.000000000E0,1.388671875E2,1.000000000E1,1.000000000E1
1.484689620E2,4.780585541E1,9.094149191E0,6.308482197E2,1.649999976E0,1.399218750E2,1.000000000E1,1.000000000E1
1.495011870E2,4.780584992E1,9.094173498E0,6.308812176E2,1.659999967E0,1.181250000E2,1.000000000E1,1.000000000E1
1.505088940E2,4.780584888E1,9.094191771E0,6.308841566E2,1.649999976E0,1.156640625E2,1.000000000E1,1.000000000E1
1.515055170E2,4.780584850E1,9.094208619E0,6.308386232E2,1.039999962E0,1.082812500E2,1.000000000E1,1.000000000E1
1.524945420E2,4.780584862E1,9.094215827E0,6.309165773E2,1.800000072E-1,1.205859375E2,1.000000000E1,1.000000000E1
1.534620199E2,4.780584850E1,9.094216749E0,6.308851707E2,4.099999964E-1,1.262109375E2,1.000000000E1,1.000000000E1
1.544701070E2,4.780584699E1,9.094224544E0,6.309750602E2,4.099999964E-1,1.005468750E2,1.000000000E1,1.000000000E1
1.554924960E2,4.780584313E1,9.094241643E0,6.309128918E2,8.899999857E-1,1.030078125E2,1.000000000E1,1.000000000E1
1.565016550E2,4.780583555E1,9.094260503E0,6.310425980E2,1.399999976E0,1.065234375E2,1.000000000E1,1.000000000E1
1.575098439E2,4.780582654E1,9.094270812E0,6.310186123E2,1.399999976E0,1.125000000E2,1.000000000E1,1.000000000E1
1.585079659E2,4.780582038E1,9.094277769E0,6.310847393E2,8.299999833E-1,1.170703125E2,5.000000000E0,5.000000000E0
1.594963930E2,4.780581665E1,9.094280954E0,6.310582497E2,4.499999881E-1,1.058203125E2,5.000000000E0,5.000000000E0
1.604852129E2,4.780581602E1,9.094287744E0,6.311061557E2,4.499999881E-1,9.140625000E1,5.000000000E0,5.000000000E0
1.614729910E2,4.780581594E1,9.094302747E0,6.309647933E2,1.129999995E0,9.175781250E1,5.000000000E0,5.000000000E0
1.624801420E2,4.780581497E1,9.094335018E0,6.310021110E2,2.670000076E0,1.030078125E2,5.000000000E0,5.000000000E0
1.634972260E2,4.780580692E1,9.094371730E0,6.308568750E2,2.599999905E0,1.132031250E2,5.000000000E0,5.000000000E0
1.645040720E2,4.780580516E1,9.094400061E0,6.309134820E2,2.599999905E0,1.096875000E2,5.000000000E0,5.000000000E0
1.655003320E2,4.780580705E1,9.094418082E0,6.307674139E2,9.100000262E-1,1.044140625E2,5.000000000E0,5.000000000E0
1.665027410E2,4.780580705E1,9.094418082E0,6.307998806E2,0.000000000E0,7.207031250E1,5.000000000E0,5.000000000E0
1.674952710E2,4.780580705E1,9.094418082E0,6.307396721E2,0.000000000E0,7.207031250E1,5.000000000E0,5.000000000E0
1.684853950E2,4.780580705E1,9.094418082E0,6.307028544E2,0.000000000E0,8.683593750E1,5.000000000E0,5.000000000E0
1.694704170E2,4.780584070E1,9.094465524E0,6.306865914E2,0.000000000E0,1.058203125E2,5.000000000E0,5.000000000E0
1.704750890E2,4.780584070E1,9.094465524E0,6.306165188E2,0.000000000E0,1.058203125E2,5.000000000E0,5.000000000E0
1.715009669E2,4.780584209E1,9.094475666E0,6.306646993E2,3.199999928E-1,8.402343750E1,5.000000000E0,5.000000000E0
1.725077310E2,4.780585110E1,9.094487568E0,6.307008202E2,3.199999928E-1,4.218750000E1,5.000000000E0,5.000000000E0
1.735024290E2,4.780586254E1,9.094502404E0,6.307277166E2,9.300000072E-1,2.882812500E1,5.000000000E0,5.000000000E0
1.744993130E2,4.780587017E1,9.094518581E0,6.307168386E2,1.279999971E0,5.660156250E1,5.000000000E0,5.000000000E0
1.754964010E2,4.780587180E1,9.094548170E0,6.305574435E2,2.059999943E0,1.262109375E2,5.000000000E0,5.000000000E0
1.764862130E2,4.780586392E1,9.094584044E0,6.307956691E2,2.059999943E0,1.265625000E2,5.000000000E0,5.000000000E0
1.774717380E2,4.780585055E1,9.094620002E0,6.308867727E2,2.329999924E0,1.188281250E2,5.000000000E0,5.000000000E0
1.784775909E2,4.780584137E1,9.094648333E0,6.311318265E2,2.329999924E0,1.121484375E2,5.000000000E0,5.000000000E0
1.794980390E2,4.780584016E1,9.094665432E0,6.312398220E2,8.600000143E-1,8.718750000E1,5.000000000E0,5.000000000E0
1.805055619E2,4.780584016E1,9.094665432E0,6.314193329E2,0.000000000E0,9.281250000E1,5.000000000E0,5.000000000E0
1.815065850E2,4.780584921E1,9.094677167E0,6.315563295E2,3.700000048E-1,9.281250000E1,5.000000000E0,5.000000000E0
1.825008440E2,4.780585114E1,9.094679011E0,6.316891522E2,3.700000048E-1,9.281250000E1,5.000000000E0,5.000000000E0
1.834936750E2,4.780585114E1,9.094679011E0,6.316136554E2,0.000000000E0,9.281250000E1,1.000000000E1,1.000000000E1
1.844854170E2,4.780586271E1,9.094684795E0,6.316657297E2,1.559999943E0,4.007812500E1,1.000000000E1,1.000000000E1
1.854714789E2,4.780587100E1,9.094700720E0,6.316803064E2,1.559999943E0,5.203125000E1,1.000000000E1,1.000000000E1
1.864654939E2,4.780587323E1,9.094720334E0,6.316053877E2,1.529999971E0,6.996093750E1,1.000000000E1,1.000000000E1
1.874875900E2,4.780587247E1,9.094735505E0,6.314703377E2,1.460000038E0,7.699218750E1,1.000000000E1,1.000000000E1
1.884954990E2,4.780586887E1,9.094743468E0,6.313269309E2,6.399999857E-1,8.261718750E1,1.000000000E1,1.000000000E1
1.894975410E2,4.780586317E1,9.094741708E0,6.312736277E2,6.399999857E-1,9.281250000E1,1.000000000E1,1.000000000E1
1.904734780E2,4.780585608E1,9.094734835E0,6.312515216E2,5.099999905E-1,9.281250000E1,1.000000000E1,1.000000000E1
1.914694500E2,4.780585101E1,9.094729554E0,6.312684683E2,4.199999869E-1,9.281250000E1,1.000000000E1,1.000000000E1
1.924815270E2,4.780584703E1,9.094733577E0,6.312141210E2,5.099999905E-1,8.718750000E1,1.000000000E1,1.000000000E1
1.935058700E2,4.780584846E1,9.094746904E0,6.310960258E2,1.100000024E0,5.625000000E1,1.000000000E1,1.000000000E1
1.945024450E2,4.780585181E1,9.094767524E0,6.311081985E2,1.669999957E0,7.171875000E1,1.000000000E1,1.000000000E1
1.955033790E2,4.780585202E1,9.094797866E0,6.311815226E2,1.669999957E0,8.050781250E1,1.000000000E1,1.000000000E1
1.964975619E2,4.780585202E1,9.094797866E0,6.310900387E2,0.000000000E0,9.457031250E1,1.000000000E1,1.000000000E1
1.974951839E2,4.780585202E1,9.094797866E0,6.311667717E2,0.000000000E0,9.457031250E1,1.000000000E1,1.000000000E1
1.984747670E2,4.780585202E1,9.094797866E0,6.311494090E2,0.000000000E0,9.457031250E1,1.000000000E1,1.000000000E1
1.995039129E2,4.780585202E1,9.094797866E0,6.311679690E2,0.000000000E0,9.457031250E1,1.000000000E1,1.000000000E1
2.004805189E2,4.780585202E1,9.094797866E0,6.312195831E2,0.000000000E0,9.281250000E1,1.000000000E1,1.000000000E1
2.015015360E2,4.780581380E1,9.094841871E0,6.312362293E2,2.800000012E-1,9.281250000E1,1.000000000E1,1.000000000E1
2.025064110E2,4.780580831E1,9.094847236E0,6.313668386E2,5.699999928E-1,1.132031250E2,1.000000000E1,1.000000000E1
2.035029060E2,4.780579984E1,9.094855618E0,6.314717331E2,8.199999928E-1,1.103906250E2,1.000000000E1,1.000000000E1
2.044994769E2,4.780578672E1,9.094863581E0,6.315265006E2,8.199999928E-1,1.399218750E2,1.000000000E1,1.000000000E1
2.054931999E2,4.780577210E1,9.094876237E0,6.315417234E2,1.090000033E0,1.476562500E2,1.000000000E1,1.000000000E1
2.064751970E2,4.780577210E1,9.094876237E0,6.315723498E2,0.000000000E0,1.476562500E2,1.000000000E1,1.000000000E1
2.074693199E2,4.780574569E1,9.094908843E0,6.315439490E2,1.059999943E0,1.511718750E2,1.000000000E1,1.000000000E1
2.084832820E2,4.780573266E1,9.094930468E0,6.316693613E2,1.220000029E0,1.251562500E2,1.000000000E1,1.000000000E1
2.094633700E2,4.780572566E1,9.094955781E0,6.317164372E2,1.059999943E0,1.047656250E2,1.000000000E1,1.000000000E1
2.104628270E2,4.780572311E1,9.094977072E0,6.317711061E2,8.000000119E-1,8.718750000E1,1.000000000E1,1.000000000E1
2.114645190E2,4.780572797E1,9.095018227E0,6.318833180E2,8.000000119E-1,9.175781250E1,1.000000000E1,1.000000000E1
2.124730370E2,4.780572399E1,9.095067345E0,6.319078477E2,2.490000010E0,1.114453125E2,1.000000000E1,1.000000000E1
2.134636359E2,4.780571757E1,9.095108835E0,6.319113121E2,2.490000010E0,1.195312500E2,1.000000000E1,1.000000000E1
2.144639009E2,4.780571057E1,9.095140351E0,6.319762176E2,1.289999962E0,1.212890625E2,1.000000000E1,1.000000000E1
2.154671689E2,4.780570475E1,9.095167760E0,6.320429735E2,1.259999990E0,1.170703125E2,1.000000000E1,1.000000000E1
2.164650970E2,4.780569884E1,9.095196258E0,6.320807296E2,1.259999990E0,1.114453125E2,1.000000000E1,1.000000000E1
2.174681230E2,4.780569532E1,9.095222829E0,6.323128396E2,1.159999967E0,1.040625000E2,1.000000000E1,1.000000000E1
2.184639560E2,4.780569281E1,9.095248394E0,6.323247364E2,1.159999967E0,9.808593750E1,1.000000000E1,1.000000000E1
2.194633529E2,4.780568996E1,9.095270103E0,6.324045532E2,1.029999971E0,9.527343750E1,5.000000000E0,5.000000000E0
2.204693040E2,4.780568421E1,9.095290890E0,6.326387326E2,9.700000286E-1,1.016015625E2,5.000000000E0,5.000000000E0
2.214639820E2,4.780568229E1,9.095308576E0,6.329241051E2,9.499999881E-1,9.457031250E1,5.000000000E0,5.000000000E0
2.224667059E2,4.780568321E1,9.095321065E0,6.327715340E2,4.000000060E-1,7.558593750E1,5.000000000E0,5.000000000E0
2.234728960E2,4.780568623E1,9.095333051E0,6.328575212E2,5.199999809E-1,5.273437500E1,5.000000000E0,5.000000000E0
2.244728830E2,4.780568861E1,9.095346630E0,6.328500842E2,4.399999976E-1,6.890625000E1,5.000000000E0,5.000000000E0
2.254852079E2,4.780568861E1,9.095346630E0,6.329479965E2,0.000000000E0,9.070312500E1,5.000000000E0,5.000000000E0
2.264868530E2,4.780568861E1,9.095346630E0,6.331370284E2,0.000000000E0,9.070312500E1,5.000000000E0,5.000000000E0
2.274819809E2,4.780568861E1,9.095346630E0,6.332669114E2,0.000000000E0,9.070312500E1,5.000000000E0,5.000000000E0
2.284823020E2,4.780568861E1,9.095346630E0,6.332100964E2,0.000000000E0,9.070312500E1,5.000000000E0,5.000000000E0
