"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.604181613E2,4.779918610E1,9.096473157E0,4.399158592E2,1.590000033E0,3.557812500E2,5.000000000E0,5.000000000E0
1.614181614E2,4.779919490E1,9.096476343E0,4.401137352E2,1.139999986E0,3.589453125E2,5.000000000E0,5.000000000E0
1.624181606E2,4.779920219E1,9.096479444E0,4.410324974E2,1.110000014E0,1.054687500E0,5.000000000E0,5.000000000E0
1.634181587E2,4.779921062E1,9.096481288E0,4.415155907E2,1.470000029E0,3.536718750E2,5.000000000E0,5.000000000E0
1.644181587E2,4.779922068E1,9.096479611E0,4.409361229E2,1.110000014E0,3.536718750E2,5.000000000E0,5.000000000E0
1.654181572E2,4.779922755E1,9.096479276E0,4.410516014E2,7.599999905E-1,3.571875000E2,5.000000000E0,5.000000000E0
1.664181559E2,4.779923639E1,9.096480869E0,4.413969383E2,7.599999905E-1,5.976562500E0,5.000000000E0,5.000000000E0
1.674181548E2,4.779924817E1,9.096485730E0,4.424278221E2,1.230000019E0,1.019531250E1,5.000000000E0,5.000000000E0
1.684181546E2,4.779926087E1,9.096492436E0,4.428186302E2,1.230000019E0,1.406250000E1,5.000000000E0,5.000000000E0
1.694181538E2,4.779927524E1,9.096499393E0,4.431092186E2,1.230000019E0,7.031250000E0,5.000000000E0,5.000000000E0
1.704181528E2,4.779929104E1,9.096503165E0,4.433972435E2,1.360000014E0,6.679687500E0,5.000000000E0,5.000000000E0
1.714181519E2,4.779930701E1,9.096501404E0,4.437127953E2,1.429999948E0,6.679687500E0,5.000000000E0,5.000000000E0
1.724181502E2,4.779932323E1,9.096496124E0,4.438783836E2,1.440000057E0,6.328125000E0,5.000000000E0,5.000000000E0
1.734181495E2,4.779933915E1,9.096492855E0,4.441895409E2,1.490000010E0,1.617187500E1,5.000000000E0,5.000000000E0
1.744181479E2,4.779935487E1,9.096492017E0,4.444791527E2,1.440000057E0,1.617187500E1,5.000000000E0,5.000000000E0
1.754181467E2,4.779937046E1,9.096493274E0,4.445205956E2,1.409999967E0,1.582031250E1,5.000000000E0,5.000000000E0
1.764181466E2,4.779938676E1,9.096490592E0,4.425917625E2,1.330000043E0,1.511718750E1,5.000000000E0,5.000000000E0
