"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.061687499E-1,6.050867157E0,2.499801636E0,9.145531769E0
8.161047500E-1,6.027515717E0,3.081941071E0,8.837771759E0
8.260407500E-1,5.788612518E0,3.671564941E0,8.970994720E0
8.359767500E-1,5.605543213E0,4.308640137E0,9.400002594E0
8.459127500E-1,5.648054810E0,4.865781555E0,9.631121979E0
8.558477500E-1,5.863606567E0,4.963228912E0,9.752220154E0
8.657837500E-1,6.096522217E0,4.716092834E0,1.000115250E1
8.757197500E-1,5.311853943E0,3.503165131E0,9.262738037E0
8.856557499E-1,5.164560242E0,2.901865540E0,7.854616241E0
8.955917499E-1,5.882766724E0,3.921844482E0,7.629035339E0
9.055267500E-1,7.352111206E0,4.850812683E0,8.079149323E0
9.154627500E-1,7.812104645E0,5.748645630E0,8.428822174E0
9.253987500E-1,7.277117157E0,6.065087585E0,7.962092743E0
9.353347500E-1,7.012168121E0,5.967490540E0,7.436385956E0
9.452707500E-1,7.335944824E0,5.837710419E0,6.950496368E0
9.552057500E-1,7.217241669E0,6.001918945E0,6.050268402E0
9.651417499E-1,6.547234955E0,6.115981750E0,4.639452209E0
9.750777499E-1,6.711742859E0,6.402785339E0,3.578907623E0
9.850137500E-1,7.680079193E0,7.079677734E0,2.846929779E0
9.949497500E-1,8.330626373E0,7.533683624E0,2.131866760E0
1.004885750E0,8.927285614E0,7.574099579E0,2.130369873E0
1.014820750E0,9.326655121E0,7.017107849E0,2.573747864E0
1.024756750E0,9.553134155E0,6.314019928E0,3.061284027E0
1.034692750E0,9.826316071E0,6.189778290E0,3.239563293E0
1.044628750E0,9.546248474E0,6.295907593E0,2.816243591E0
1.054564750E0,8.674461365E0,6.669979706E0,2.234403534E0
1.064500750E0,8.161478119E0,6.673123169E0,1.779050446E0
1.074435750E0,8.192463684E0,6.397396545E0,1.328487396E0
1.084371750E0,8.096513214E0,6.130202179E0,3.884422302E-1
1.094307750E0,8.292006683E0,5.677842865E0,-5.200186157E-1
1.104243750E0,8.868757324E0,5.053940277E0,-5.783972168E-1
1.114179750E0,9.164991302E0,4.811594238E0,-6.682104492E-1
1.124114750E0,8.947792969E0,5.186714172E0,-1.198258209E0
1.134050750E0,8.214168549E0,5.541775818E0,-2.133962402E0
1.143986750E0,7.588469696E0,5.316643982E0,-3.088976440E0
1.153922750E0,7.080276489E0,4.795727234E0,-3.332220612E0
1.163858750E0,6.686146088E0,4.553680573E0,-3.568878479E0
1.173794750E0,6.683002625E0,4.806654510E0,-3.557352448E0
1.183729750E0,6.822362823E0,4.869074707E0,-2.072440338E0
1.193665750E0,6.538702698E0,4.468956757E0,-1.044827271E0
1.203601750E0,5.852679291E0,4.485123138E0,-2.083816681E0
1.213537750E0,5.266049194E0,4.968617706E0,-2.703228607E0
1.223473750E0,4.637506256E0,5.274132385E0,-2.502645721E0
1.233409750E0,4.290228424E0,5.283712463E0,-2.136058044E0
1.243344750E0,4.187691650E0,4.817432098E0,-2.178419952E0
1.253280750E0,3.488196259E0,4.316423950E0,-2.144290924E0
1.263216750E0,2.619552612E0,4.356390839E0,-2.622546387E0
1.273152750E0,2.092199249E0,4.702471161E0,-3.244802399E0
1.283088875E0,1.696422272E0,5.579347687E0,-4.207749939E0
1.293024875E0,1.364562378E0,7.000342712E0,-5.104085999E0
1.302959875E0,5.167254639E-1,5.458848267E0,-2.193538513E0
1.312895875E0,6.649172974E-1,4.537214813E0,-1.616338806E0
1.322831875E0,3.071612549E-1,5.182223511E0,-1.397643585E0
1.332767875E0,3.221301270E-1,8.574020233E0,-2.244282990E0
1.342703875E0,-9.717791748E-1,2.395528473E1,-1.073567505E0
1.352638875E0,-2.612367554E0,1.900552780E1,1.803150330E0
1.362574875E0,-2.779420166E0,7.080426178E0,-3.966751099E-2
1.372510875E0,-2.133213959E0,4.731211395E0,-5.215155029E0
1.382446875E0,-1.648222504E0,5.131029968E0,-6.418352966E0
1.392382875E0,-1.328637085E0,6.784491577E0,-5.780529327E0
1.402318875E0,-2.680924988E-1,8.126900024E0,-5.411247253E0
1.412253875E0,8.201445007E-1,8.094417572E0,-6.027216339E0
1.422189875E0,1.555415497E0,7.454647980E0,-6.900051270E0
1.432125875E0,1.948348389E0,6.326294403E0,-7.304210815E0
