"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.477957500E-1,-2.831856906E-1,-5.078489184E-1,-9.520969391E-1
7.577317500E-1,-3.419230282E-1,-5.235352516E-1,-7.781293988E-1
7.676677500E-1,-2.449807674E-1,-5.591132045E-1,-4.954380691E-1
7.776037500E-1,-9.206711501E-2,-6.833531260E-1,-3.012086749E-1
7.875397500E-1,3.337788582E-2,-8.600040674E-1,-2.995894551E-1
7.974747500E-1,1.018357724E-1,-9.635618925E-1,-4.036772549E-1
8.074107500E-1,1.463519484E-1,-1.043714881E0,-5.071470141E-1
8.173467499E-1,2.344051003E-1,-1.143875360E0,-5.694642067E-1
8.272827499E-1,3.803979456E-1,-1.284777522E0,-5.482456088E-1
8.372187500E-1,6.020746827E-1,-1.487611651E0,-4.562104940E-1
8.471547500E-1,9.138000607E-1,-1.719592571E0,-3.663108349E-1
8.570897500E-1,1.292463541E0,-2.104380369E0,-2.867994905E-1
8.670257500E-1,1.705029011E0,-2.548671484E0,-3.482505977E-1
8.769617500E-1,2.076825380E0,-2.774189949E0,-6.265602708E-1
8.868977500E-1,2.424253941E0,-2.836899281E0,-8.903351426E-1
8.968337500E-1,2.710501671E0,-2.869070530E0,-1.086823702E0
9.067687499E-1,2.932046652E0,-3.173253298E0,-1.130216718E0
9.167047500E-1,3.191532850E0,-3.666189671E0,-1.090559006E0
9.266407500E-1,3.513239145E0,-4.057738304E0,-1.028838396E0
9.365767500E-1,3.842809677E0,-4.147924423E0,-1.027895331E0
9.465127500E-1,4.006824970E0,-3.991111279E0,-1.009887457E0
9.564477500E-1,3.974175453E0,-3.746409655E0,-8.906111121E-1
9.663837500E-1,3.785990000E0,-3.430042744E0,-7.179084420E-1
9.763197500E-1,3.474869251E0,-3.083435535E0,-5.263411403E-1
9.862557499E-1,3.102627754E0,-2.829559088E0,-3.585959673E-1
9.961917499E-1,2.703616619E0,-2.682885170E0,-2.435377985E-1
1.006127750E0,2.360592604E0,-2.715620518E0,-1.782027483E-1
1.016062750E0,2.148288488E0,-2.833040953E0,-1.804845482E-1
1.025998750E0,2.055515766E0,-3.025616407E0,-2.237765789E-1
1.035934750E0,2.063385725E0,-3.185975790E0,-2.718394399E-1
1.045870750E0,2.165185928E0,-3.100320578E0,-2.938022316E-1
1.055806750E0,2.332061291E0,-2.865576506E0,-3.714672029E-1
1.065742750E0,2.550758600E0,-2.635139704E0,-5.888664126E-1
1.075677750E0,2.748640299E0,-2.324152708E0,-8.994415998E-1
1.085613750E0,2.878681898E0,-2.053364038E0,-1.217161775E0
1.095549750E0,2.923879385E0,-2.057938576E0,-1.545360088E0
1.105485750E0,2.912188768E0,-2.184607744E0,-1.850480199E0
1.115421750E0,2.861304760E0,-2.199398994E0,-2.078270435E0
1.125356750E0,2.758809328E0,-2.070415020E0,-2.202625036E0
1.135292750E0,2.592636824E0,-1.893211246E0,-2.236741781E0
1.145228750E0,2.397833586E0,-1.799656987E0,-2.233851433E0
1.155164750E0,2.197084904E0,-1.733531952E0,-2.195951700E0
1.165100750E0,1.973172188E0,-1.588165641E0,-2.203310728E0
1.175036750E0,1.777583003E0,-1.561523676E0,-2.332856894E0
1.184971750E0,1.659891605E0,-1.778389573E0,-2.542913198E0
1.194907750E0,1.595405579E0,-1.863671184E0,-2.712360144E0
1.204843750E0,1.546409488E0,-1.794498324E0,-2.792766809E0
1.214779750E0,1.514053702E0,-1.667133093E0,-2.802365303E0
1.224715750E0,1.486651659E0,-1.542554259E0,-2.854769230E0
1.234651750E0,1.431392908E0,-1.479107618E0,-2.996609926E0
1.244586750E0,1.306344032E0,-1.576724529E0,-3.151149750E0
1.254522750E0,1.145560980E0,-1.625970960E0,-3.198271751E0
1.264458750E0,9.508717656E-1,-1.514241099E0,-3.185307980E0
1.274394750E0,6.154719591E-1,-1.299653411E0,-3.065289497E0
1.284330875E0,-7.323723435E-1,-7.319517136E-1,-2.705295086E0
1.294266875E0,-1.532808542E0,-1.229301572E0,-2.345483303E0
1.304201875E0,-1.220158458E0,-1.402116179E0,-2.137271881E0
1.314137875E0,-5.704143643E-1,-1.148462534E0,-2.039102316E0
1.324073875E0,-3.574501276E-1,-9.443912506E-1,-2.011558294E0
1.334009875E0,2.304093838E-1,-9.269094467E-1,-1.644473672E0
1.343945875E0,1.376680851E0,-8.541628122E-1,-1.160866618E0
1.353880875E0,1.737975597E0,-1.665701270E0,-7.768595219E-1
1.363816875E0,1.702887297E0,-1.474151373E0,-3.325316608E-1
1.373752875E0,1.484118462E0,-1.027439117E0,-2.785777673E-2
1.383688875E0,1.298596382E0,-8.027077317E-1,2.030193359E-1
1.393624875E0,1.120947838E0,-7.288974524E-1,3.965661526E-1
1.403560875E0,7.783396244E-1,-8.690564632E-1,5.061048865E-1
1.413495875E0,2.860580683E-1,-1.085134149E0,5.194478631E-1
1.423431875E0,-3.852933347E-1,-1.334034801E0,3.780875504E-1
1.433367875E0,-9.916568398E-1,-1.302559972E0,1.898404360E-1
1.443303875E0,-1.330280662E0,-1.188935518E0,6.666474044E-2
1.453239875E0,-1.686137557E0,-1.154755473E0,-1.044777185E-1
1.463175875E0,-2.222936392E0,-1.077431321E0,-4.124254584E-1
1.473110875E0,-2.553804159E0,-9.153976440E-1,-8.454586267E-1
1.483046875E0,-2.500991344E0,-7.141907215E-1,-1.228510261E0
1.492982875E0,-2.372193813E0,-6.258422136E-1,-1.387333632E0
1.502918875E0,-2.413051367E0,-7.204096317E-1,-1.222576141E0
1.512854875E0,-2.404141426E0,-9.188724160E-1,-9.318888187E-1
1.522790875E0,-2.215333939E0,-9.415941834E-1,-6.509696245E-1
1.532725875E0,-1.940943599E0,-8.125179410E-1,-3.482563794E-1
1.542661875E0,-1.645605803E0,-7.852030993E-1,-6.435025483E-2
1.552597875E0,-1.368050575E0,-6.901916265E-1,1.695874184E-1
1.562533875E0,-1.188747764E0,-4.923474193E-1,3.146757483E-1
1.572469875E0,-1.107816696E0,-3.731935918E-1,4.015770853E-1
1.582405875E0,-1.037091613E0,-1.842433363E-1,4.468402863E-1
1.592341875E0,-8.789498806E-1,-1.049897969E-1,4.114879072E-1
1.602276875E0,-4.974418581E-1,-3.182777762E-2,4.612298310E-1
1.612212875E0,-2.620418370E-1,2.470696345E-4,6.643072963E-1
1.622148875E0,-9.051749855E-2,-5.562920496E-2,9.550520182E-1
1.632084875E0,-2.756463289E-1,8.399048820E-3,1.204018235E0
1.642020875E0,-7.162325382E-1,-2.385544628E-1,1.428574800E0
1.651956875E0,-8.343921900E-1,-2.594884932E-1,1.550082088E0
1.661891875E0,-1.012280822E0,-1.653723270E-1,1.634083867E0
1.671827875E0,-1.018137336E0,-1.324178427E-1,1.518912792E0
1.681763875E0,-9.624364972E-1,-1.344450265E-1,1.314877272E0
1.691699875E0,-8.034564257E-1,6.264912337E-2,1.074414253E0
1.701635875E0,-4.583432376E-1,4.124486148E-1,8.169058561E-1
1.711571875E0,-1.779786944E-1,5.394624472E-1,5.890285373E-1
1.721506875E0,6.284011155E-2,4.572130144E-1,4.572776854E-1
1.731442875E0,1.800341159E-1,4.618333578E-1,4.522978365E-1
1.741378875E0,1.347175837E-1,6.098939776E-1,5.319139957E-1
1.751314875E0,-4.125744477E-2,7.478814125E-1,6.064191461E-1
1.761250875E0,-4.690762460E-1,6.533289552E-1,7.179710269E-1
1.771186875E0,-5.083191991E-1,7.370390296E-1,7.262353897E-1
1.781121875E0,-4.098545313E-1,6.484895945E-1,6.046887040E-1
1.791057875E0,-2.784264684E-1,4.326827824E-1,5.007138252E-1
1.800993875E0,-1.634059846E-1,3.280460536E-1,4.182769656E-1
1.810929875E0,-3.780305758E-2,2.071662247E-1,3.382833302E-1
1.820865875E0,1.093439013E-1,9.959721565E-2,2.902287543E-1
1.830801875E0,2.188144624E-1,5.008372664E-2,2.862124443E-1
1.840737875E0,2.744435966E-1,2.302461769E-3,3.268282712E-1
1.850672875E0,3.369666040E-1,-1.259782761E-1,3.840015531E-1
1.860608875E0,4.498879313E-1,-2.847608924E-1,4.199585319E-1
1.870544875E0,5.541126132E-1,-4.960313439E-1,4.271440208E-1
1.880480875E0,5.923840404E-1,-5.501904488E-1,4.446318150E-1
1.890416875E0,5.531082749E-1,-3.820344806E-1,4.262072742E-1
1.900352875E0,5.228659511E-1,-2.313552350E-1,3.711205721E-1
1.910287875E0,6.239888668E-1,-1.946763247E-1,2.946758866E-1
1.920223875E0,8.203504086E-1,-1.594475061E-1,2.422361076E-1
1.930159875E0,1.019771338E0,-1.376537979E-1,2.304585427E-1
1.940095875E0,1.236593485E0,-1.266421229E-1,2.707016766E-1
1.950031875E0,1.393978000E0,-1.611644179E-1,4.167283773E-1
1.959967875E0,1.497506142E0,-1.228983328E-1,6.318843365E-1
1.969903875E0,1.516014576E0,2.524053305E-2,8.688763380E-1
1.979838875E0,1.530004501E0,1.811241359E-1,1.081800938E0
1.989774875E0,1.597778440E0,2.930980921E-1,1.255408883E0
1.999710875E0,1.720182300E0,4.444260001E-1,1.446573138E0
2.009646875E0,1.896288037E0,5.287840366E-1,1.660205841E0
2.019582875E0,2.049775600E0,4.672811329E-1,1.861121178E0
2.029518875E0,2.136536837E0,4.327050447E-1,2.051015139E0
2.039454875E0,2.171329975E0,4.012784362E-1,2.127426863E0
2.049389875E0,2.177103996E0,3.467470407E-1,2.007779598E0
2.059325875E0,2.205557346E0,2.800408602E-1,1.678853869E0
2.069261875E0,2.247433662E0,2.320102155E-1,1.275514722E0
2.079197875E0,2.243424177E0,2.650565207E-1,8.728857040E-1
2.089133875E0,2.148436308E0,2.821492255E-1,5.109083056E-1
2.099069875E0,1.970295191E0,1.933677644E-1,2.510907948E-1
2.109004875E0,1.737893939E0,1.108294725E-1,1.144503951E-1
2.118940875E0,1.530976176E0,-5.185790360E-4,4.331788421E-2
2.128876875E0,1.404958367E0,-1.123409793E-1,7.917361706E-2
2.138812875E0,1.359119892E0,-2.211837620E-1,1.778434515E-1
2.148748875E0,1.354458094E0,-3.958780766E-1,2.692393959E-1
2.158684875E0,1.344670057E0,-5.780066252E-1,3.474926651E-1
2.168620875E0,1.296885014E0,-7.255779505E-1,4.302397370E-1
2.178556875E0,1.203979254E0,-8.138859868E-1,4.854506254E-1
2.188491875E0,1.080895662E0,-9.344698787E-1,5.123056769E-1
2.198427875E0,9.566230774E-1,-1.060787916E0,6.259227991E-1
2.208363875E0,8.423755765E-1,-1.091176271E0,8.332149982E-1
2.218299875E0,7.644361258E-1,-1.052758336E0,9.597470760E-1
2.228235875E0,7.303715944E-1,-1.037229538E0,9.776096940E-1
2.238171875E0,7.227501273E-1,-9.839729071E-1,9.191464186E-1
2.248106875E0,7.161758542E-1,-9.640159607E-1,8.010490537E-1
2.258042875E0,6.818727851E-1,-1.050434828E0,7.588999271E-1
2.267978875E0,5.887415409E-1,-1.031976938E0,7.996695042E-1
2.277914583E0,4.475234151E-1,-1.003255486E0,8.504958749E-1
2.287850583E0,3.105477393E-1,-9.289556742E-1,9.328677058E-1
2.297786583E0,2.327738404E-1,-7.852194905E-1,1.002466679E0
2.307722583E0,2.465386540E-1,-7.543861866E-1,1.115412116E0
2.317658583E0,3.270299137E-1,-7.009803057E-1,1.415574551E0
2.327593583E0,4.158471227E-1,-7.232304811E-1,1.765079498E0
2.337529583E0,3.961748481E-1,-6.559799314E-1,2.142655373E0
2.347465583E0,-1.282373428E0,-3.542544544E-1,1.949108481E0
2.357401583E0,-7.035063505E-1,-8.521893024E-1,2.559241772E0
2.367337583E0,-4.608663023E-1,-4.511851966E-1,2.668026924E0
2.377273583E0,8.950971067E-2,-6.596892476E-1,2.817466974E0
2.387209583E0,6.142184734E-1,-4.475450814E-1,2.760256052E0
2.397144583E0,9.357016087E-1,-4.572664797E-1,2.527887106E0
2.407080583E0,1.059670210E0,-5.866311193E-1,2.322708130E0
2.417016583E0,1.113819599E0,-6.311988831E-1,2.205076694E0
2.426952583E0,1.119582415E0,-6.114621758E-1,2.207134008E0
2.436888583E0,1.139691830E0,-6.486681700E-1,2.357419729E0
2.446824583E0,1.143274426E0,-6.325560808E-1,2.722548962E0
2.456760583E0,1.183507919E0,-4.658021033E-1,2.964551210E0
2.466695583E0,1.275228858E0,-5.086830258E-1,2.894374847E0
2.476631583E0,1.271750212E0,-5.892333388E-1,2.682729959E0
2.486567583E0,1.140453935E0,-4.673402011E-1,2.322090387E0
2.496503583E0,9.248344302E-1,-2.516801953E-1,1.798986197E0
2.506439583E0,6.946582198E-1,-1.162152551E-2,1.174303651E0
2.516375583E0,4.835596085E-1,2.929515243E-1,4.093419015E-1
2.526311583E0,2.733432651E-1,5.024818778E-1,-5.341619849E-1
2.536247583E0,9.779711254E-3,6.866267920E-1,-1.476732016E0
2.546182583E0,-3.145328760E-1,8.131536245E-1,-2.337658644E0
2.556118583E0,-6.323601604E-1,8.895720840E-1,-3.018632174E0
2.566054583E0,-8.592175245E-1,1.012053490E0,-3.445727825E0
2.575990583E0,-9.424579144E-1,1.022915959E0,-3.612203121E0
2.585926583E0,-8.846718669E-1,1.050088167E0,-3.495771170E0
2.595862583E0,-8.156085014E-1,1.011321902E0,-3.205790997E0
2.605798583E0,-7.784829736E-1,1.092421770E0,-2.863889933E0
2.615734583E0,-6.505584121E-1,1.164437771E0,-2.580715895E0
2.625669583E0,-5.512278676E-1,1.095635533E0,-2.540416956E0
2.635605583E0,-5.471768975E-1,1.093344569E0,-2.693568707E0
2.645541583E0,-6.443274021E-1,1.172367215E0,-3.032374144E0
2.655477583E0,-6.692531705E-1,1.197792888E0,-3.394217014E0
2.665413583E0,-6.362739205E-1,9.249286652E-1,-3.569793940E0
2.675349583E0,-6.423518658E-1,6.520378590E-1,-3.500339270E0
2.685285583E0,-6.953631043E-1,6.041225195E-1,-3.268414736E0
2.695221583E0,-7.275477648E-1,7.764626741E-1,-2.967969179E0
2.705156583E0,-7.306271791E-1,8.900869489E-1,-2.741962194E0
2.715092583E0,-7.525665760E-1,1.014984012E0,-2.633775949E0
2.725028583E0,-8.043080568E-1,9.980713725E-1,-2.603302717E0
2.734964583E0,-9.457659721E-1,8.718606830E-1,-2.628504992E0
2.744900583E0,-1.156746149E0,7.479563355E-1,-2.574965477E0
2.754836583E0,-1.355613351E0,6.847413778E-1,-2.459006548E0
2.764772583E0,-1.597012401E0,6.688396335E-1,-2.376431465E0
2.774708583E0,-1.941748261E0,6.454234123E-1,-2.334855556E0
2.784643583E0,-2.441118717E0,6.947166324E-1,-2.248707294E0
2.794579583E0,-3.003079176E0,9.060846567E-1,-2.104579687E0
2.804515583E0,-3.485183239E0,1.051339626E0,-1.980819821E0
2.814451583E0,-3.936023712E0,9.677367806E-1,-1.955332756E0
2.824387583E0,-4.361619949E0,7.419177890E-1,-2.021226168E0
2.834323583E0,-4.726382732E0,6.746082306E-1,-2.143697739E0
2.844259583E0,-4.951701641E0,7.074007988E-1,-2.266130447E0
2.854195583E0,-5.032719135E0,6.710740924E-1,-2.428706169E0
2.864130583E0,-4.984385967E0,5.678598285E-1,-2.463078260E0
