"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.477957500E-1,9.852254319E-1,-6.348379044E-1,1.125811792E0
7.577317500E-1,3.752918422E-1,-5.126721740E-2,6.608464658E-1
7.676677500E-1,-4.853835109E-1,8.299271849E-1,1.995602077E-1
7.776037500E-1,-4.389887783E-1,1.265516831E0,6.855070978E-1
7.875397500E-1,3.664511445E-1,8.721930523E-1,1.233191230E0
7.974747500E-1,1.002224165E0,1.186426368E-1,1.329909439E0
8.074107500E-1,1.277737073E0,1.150436756E-1,8.767028636E-1
8.173467499E-1,1.132351610E0,6.787594110E-1,6.875267261E-1
8.272827499E-1,8.071373695E-1,1.213398112E0,9.303235853E-1
8.372187500E-1,5.517309898E-1,1.795182914E0,1.449916524E0
8.471547500E-1,5.011128134E-1,2.231171778E0,1.741440570E0
8.570897500E-1,6.012545675E-1,2.174393267E0,2.006192554E0
8.670257500E-1,5.850531024E-1,1.717799692E0,2.400529363E0
8.769617500E-1,-4.324629933E-1,2.515252903E-1,1.659556746E0
8.868977500E-1,-6.315150779E-1,-3.036459088E-1,5.992805475E-1
8.968337500E-1,4.633859932E-2,5.268583962E-1,7.444984871E-1
9.067687499E-1,1.330935041E0,1.190380256E0,1.526815011E0
9.167047500E-1,1.429914953E0,1.781321504E0,2.108213603E0
9.266407500E-1,6.710533655E-1,1.751650978E0,1.976466479E0
9.365767500E-1,3.188779056E-1,1.349100586E0,1.901746665E0
9.465127500E-1,4.750979662E-1,9.787353149E-1,1.857844600E0
9.564477500E-1,1.280247867E-1,9.017166674E-1,1.341516747E0
9.663837500E-1,-6.461769712E-1,7.821902239E-1,3.766080505E-1
9.763197500E-1,-4.012014395E-1,9.442937529E-1,-1.755682048E-1
9.862557499E-1,4.682105309E-1,1.481117266E0,-5.200224164E-1
9.961917499E-1,1.038612850E0,1.776570057E0,-8.199199677E-1
1.006127750E0,1.568838950E0,1.673339218E0,-3.809408373E-1
1.016062750E0,1.860708566E0,9.751933640E-1,4.074326710E-1
1.025998750E0,2.059278840E0,2.780011904E-1,1.242663134E0
1.035934750E0,2.264120253E0,1.405273032E-1,1.685590743E0
1.045870750E0,1.856644167E0,2.375150692E-1,1.593755690E0
1.055806750E0,9.624318159E-1,5.592844230E-1,1.368011650E0
1.065742750E0,5.591522759E-1,4.453865093E-1,1.299676411E0
1.075677750E0,6.334434897E-1,1.117572480E-1,1.152767456E0
1.085613750E0,6.014796853E-1,-2.496807861E-1,5.067337418E-1
1.095549750E0,9.644356567E-1,-8.175951147E-1,5.828504562E-3
1.105485750E0,1.673540947E0,-1.536892687E0,3.746217513E-1
1.115421750E0,2.047276846E0,-1.801598479E0,5.556106174E-1
1.125356750E0,1.945519506E0,-1.496998304E0,3.309933364E-1
1.135292750E0,1.358816904E0,-1.300911927E0,-3.537679490E-1
1.145228750E0,9.673423076E-1,-1.689436018E0,-9.282618570E-1
1.155164750E0,6.417652470E-1,-2.294060921E0,-8.505508992E-1
1.165100750E0,4.958240068E-1,-2.550391746E0,-8.640547514E-1
1.175036750E0,7.380723971E-1,-2.356767631E0,-4.800409099E-1
1.184971750E0,1.085139729E0,-2.449629602E0,1.347147323E0
1.194907750E0,9.616915584E-1,-2.957974252E0,2.320717793E0
1.204843750E0,5.652708024E-1,-2.926154873E0,1.400725068E0
1.214779750E0,2.363929886E-1,-2.542899708E0,1.118995693E0
1.224715750E0,-9.846009493E-2,-2.330075092E0,1.577794545E0
1.234651750E0,-1.041014886E-1,-2.460427070E0,2.064307154E0
1.244586750E0,5.471210450E-2,-3.027295332E0,2.199952616E0
1.254522750E0,-3.957240602E-1,-3.562064134E0,2.357749379E0
1.264458750E0,-9.056024346E-1,-3.518707615E0,1.944810238E0
1.274394750E0,-1.099461022E0,-3.227216898E0,1.497715465E0
1.284330875E0,-1.173231834E0,-2.254316812E0,3.130429691E-1
1.294266875E0,-1.353991489E0,-1.229580574E0,-1.008551145E-1
1.304201875E0,-1.869327655E0,-3.085103245E0,2.687357510E0
1.314137875E0,-1.452425418E0,-3.832899562E0,2.976264634E0
1.324073875E0,-1.674007409E0,-3.137514762E0,3.225278546E0
1.334009875E0,-1.375428259E0,1.366577328E0,2.195879738E0
1.343945875E0,-2.815960001E0,1.662410422E1,4.010240934E0
1.353880875E0,-4.084777731E0,8.632681839E0,6.799191477E0
1.363816875E0,-4.034162478E0,-1.939926644E0,4.268051105E0
1.373752875E0,-3.231704051E0,-3.561606882E0,-4.581030339E-1
1.383688875E0,-2.807819508E0,-2.915476688E0,-1.104403966E0
1.393624875E0,-2.382578849E0,-1.112394186E0,-3.306442577E-1
1.403560875E0,-1.266402538E0,1.291603160E-1,2.659606040E-2
1.413495875E0,-2.054262806E-1,-1.328838229E-2,-6.402543265E-1
1.423431875E0,5.251064242E-1,-6.941416812E-1,-1.449124226E0
1.433367875E0,8.898431651E-1,-1.850534411E0,-1.872710561E0
1.443303875E0,7.313913685E-1,-2.059161311E0,-1.884672210E0
1.453239875E0,5.812671764E-1,-1.870304432E0,-8.166940588E-1
